Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0240	1.65			
0.017	0.0243	1.67			
0.033	0.0245	1.64			
0.050	0.0246	1.65			
0.067	0.0246	1.65			
0.083	0.0245	1.65			
0.100	0.0244	1.65			
0.117	0.0243	1.65			
0.133	0.0259	1.65			
0.150	0.1691	1.65			
0.167	0.3029	1.65			
0.183	0.3709	1.65			
0.200	0.3432	1.65			
0.217	0.3419	1.65			
0.233	0.3426	1.67			
0.250	0.3425	1.64			
0.267	0.3363	1.65			
0.283	0.3291	1.65			
0.300	0.3271	1.65			
0.317	0.3326	1.65			
0.333	0.3364	1.65			
0.350	0.3337	1.65			
0.367	0.3317	1.65			
0.383	0.3327	1.67			
0.400	0.3340	1.65			
0.417	0.3351	1.65			
0.433	0.3349	1.65			
0.450	0.3338	1.64			
0.467	0.3328	1.65			
0.483	0.3331	1.65			
0.500	0.3328	1.67			
0.517	0.3329	1.65			
0.533	0.3336	1.67			
0.550	0.3347	1.65			
0.567	0.3344	1.65			
0.583	0.3349	1.65			
0.600	0.3347	1.65			
0.617	0.3349	1.67			
0.633	0.3349	1.65			
0.650	0.3349	1.64			
0.667	0.3344	1.67			
0.683	0.3341	1.65			
0.700	0.3343	1.65			
0.717	0.3332	1.65			
0.733	0.3321	1.67			
0.750	0.3314	1.65			
0.767	0.3305	1.65			
0.783	0.3293	1.65			
0.800	0.3283	1.65			
0.817	0.3276	1.65			
0.833	0.3272	1.65			
0.850	0.3271	1.65			
0.867	0.3270	1.65			
0.883	0.3273	1.65			
0.900	0.3273	1.65			
0.917	0.3275	1.65			
0.933	0.3273	1.65			
0.950	0.3269	1.65			
0.967	0.3264	1.65			
0.983	0.3260	1.65			
1.000	0.3256	1.65			
1.017	0.3250	1.65			
1.033	0.3241	1.65			
1.050	0.3232	1.65			
1.067	0.3224	1.65			
1.083	0.3218	1.65			
1.100	0.3209	1.67			
1.117	0.3199	1.67			
1.133	0.3187	1.65			
1.150	0.3172	1.67			
1.167	0.3159	1.65			
1.183	0.3143	1.67			
1.200	0.3127	1.67			
1.217	0.3111	1.65			
1.233	0.3093	1.65			
1.250	0.3074	1.65			
1.267	0.3054	1.65			
1.283	0.3033	1.65			
1.300	0.3010	1.65			
1.317	0.2988	1.65			
1.333	0.2963	1.65			
1.350	0.2939	1.65			
1.367	0.2912	1.65			
1.383	0.2886	1.65			
1.400	0.2859	1.65			
1.417	0.2834	1.64			
1.433	0.2804	1.65			
1.450	0.2772	1.64			
1.467	0.2738	1.65			
1.483	0.2701	1.65			
1.500	0.2663	1.65			
1.517	0.2622	1.67			
1.533	0.2579	1.67			
1.550	0.2535	1.65			
1.567	0.2494	1.65			
1.583	0.2453	1.65			
1.600	0.2411	1.67			
1.617	0.2373	1.65			
1.633	0.2339	1.65			
1.650	0.2312	1.65			
1.667	0.2280	1.65			
1.683	0.2242	1.65			
1.700	0.2203	1.65			
1.717	0.2167	1.67			
1.733	0.2134	1.65			
1.750	0.2104	1.67			
1.767	0.2072	1.65			
1.783	0.2036	1.67			
1.800	0.2005	1.65			
1.817	0.1973	1.67			
1.833	0.1945	1.65			
1.850	0.1915	1.67			
1.867	0.1887	1.67			
1.883	0.1861	1.65			
1.900	0.1834	1.65			
1.917	0.1803	1.67			
1.933	0.1774	1.67			
1.950	0.1746	1.65			
1.967	0.1719	1.67			
1.983	0.1691	1.65			
2.000	0.1664	1.65			
2.017	0.1638	1.65			
2.033	0.1611	1.67			
2.050	0.1583	1.65			
2.067	0.1552	1.67			
2.083	0.1519	1.65			
2.100	0.1486	1.67			
2.117	0.1450	1.64			
2.133	0.1414	1.67			
2.150	0.1377	1.65			
2.167	0.1342	1.65			
2.183	0.1311	1.65			
2.200	0.1283	1.65			
2.217	0.1256	1.65			
2.233	0.1226	1.65			
2.250	0.1198	1.65			
2.267	0.1169	1.67			
2.283	0.1142	1.65			
2.300	0.1117	1.65			
2.317	0.1092	1.65			
2.333	0.1069	1.65			
2.350	0.1048	1.65			
2.367	0.1030	1.65			
2.383	0.1012	1.67			
2.400	0.0994	1.67			
2.417	0.0974	1.65			
2.433	0.0956	1.65			
2.450	0.0937	1.65			
2.467	0.0919	1.65			
2.483	0.0905	1.65			
2.500	0.0891	1.67			
2.517	0.0876	1.67			
2.533	0.0859	1.65			
2.550	0.0843	1.65			
2.567	0.0829	1.67			
2.583	0.0815	1.65			
2.600	0.0802	1.65			
2.617	0.0788	1.65			
2.633	0.0774	1.67			
2.650	0.0759	1.67			
2.667	0.0747	1.65			
2.683	0.0735	1.67			
2.700	0.0722	1.65			
2.717	0.0710	1.65			
2.733	0.0698	1.65			
2.750	0.0685	1.65			
2.767	0.0673	1.65			
2.783	0.0659	1.65			
2.800	0.0648	1.67			
2.817	0.0638	1.65			
2.833	0.0628	1.67			
2.850	0.0617	1.67			
2.867	0.0604	1.65			
2.883	0.0592	1.67			
2.900	0.0584	1.65			
2.917	0.0576	1.65			
2.933	0.0568	1.65			
2.950	0.0558	1.65			
2.967	0.0548	1.65			
2.983	0.0536	1.65			
3.000	0.0527	1.65			
3.017	0.0516	1.65			
3.033	0.0506	1.65			
3.050	0.0497	1.65			
3.067	0.0488	1.65			
3.083	0.0481	1.67			
3.100	0.0475	1.65			
3.117	0.0467	1.65			
3.133	0.0457	1.67			
3.150	0.0446	1.65			
3.167	0.0438	1.67			
3.183	0.0430	1.67			
3.200	0.0420	1.67			
3.217	0.0412	1.65			
3.233	0.0403	1.67			
3.250	0.0396	1.65			
3.267	0.0391	1.67			
3.283	0.0386	1.65			
3.300	0.0380	1.65			
3.317	0.0374	1.65			
3.333	0.0370	1.65			
3.350	0.0366	1.67			
3.367	0.0363	1.65			
3.383	0.0360	1.67			
3.400	0.0358	1.65			
3.417	0.0356	1.65			
3.433	0.0356	1.65			
3.450	0.0355	1.65			
3.467	0.0354	1.65			
3.483	0.0354	1.65			
3.500	0.0355	1.65			
3.517	0.0356	1.65			
3.533	0.0358	1.67			
3.550	0.0361	1.65			
3.567	0.0365	1.65			
3.583	0.0369	1.65			
3.600	0.0374	1.65			
3.617	0.0380	1.67			
3.633	0.0386	1.65			
3.650	0.0392	1.67			
3.667	0.0400	1.65			
3.683	0.0408	1.67			
3.700	0.0417	1.65			
3.717	0.0426	1.67			
3.733	0.0436	1.65			
3.750	0.0447	1.65			
3.767	0.0457	1.65			
3.783	0.0469	1.65			
3.800	0.0479	1.67			
3.817	0.0489	1.65			
3.833	0.0498	1.65			
3.850	0.0510	1.67			
3.867	0.0523	1.65			
3.883	0.0533	1.67			
3.900	0.0540	1.65			
3.917	0.0550	1.65			
3.933	0.0560	1.67			
3.950	0.0569	1.67			
3.967	0.0577	1.65			
3.983	0.0584	1.67			
4.000	0.0591	1.65			
4.017	0.0597	1.65			
4.033	0.0602	1.67			
4.050	0.0606	1.67			
4.067	0.0610	1.65			
4.083	0.0613	1.67			
4.100	0.0615	1.67			
4.117	0.0617	1.65			
4.133	0.0618	1.65			
4.150	0.0619	1.65			
4.167	0.0620	1.65			
4.183	0.0620	1.65			
4.200	0.0619	1.65			
4.217	0.0618	1.65			
4.233	0.0616	1.65			
4.250	0.0613	1.67			
4.267	0.0610	1.65			
4.283	0.0606	1.67			
4.300	0.0602	1.67			
4.317	0.0598	1.65			
4.333	0.0593	1.65			
4.350	0.0588	1.67			
4.367	0.0583	1.65			
4.383	0.0578	1.67			
4.400	0.0572	1.65			
4.417	0.0567	1.65			
4.433	0.0562	1.65			
4.450	0.0557	1.65			
4.467	0.0552	1.65			
4.483	0.0547	1.65			
4.500	0.0543	1.65			
4.517	0.0539	1.65			
4.533	0.0535	1.65			
4.550	0.0532	1.67			
4.567	0.0529	1.65			
4.583	0.0528	1.67			
4.600	0.0527	1.65			
4.617	0.0528	1.65			
4.633	0.0530	1.64			
4.650	0.0533	1.67			
4.667	0.0538	1.65			
4.683	0.0543	1.65			
4.700	0.0554	1.67			
4.717	0.0568	1.67			
4.733	0.0582	1.67			
4.750	0.0599	1.65			
4.767	0.0617	1.67			
4.783	0.0636	1.65			
4.800	0.0659	1.67			
4.817	0.0686	1.65			
4.833	0.0716	1.65			
4.850	0.0746	1.65			
4.867	0.0779	1.65			
4.883	0.0816	1.65			
4.900	0.0857	1.65			
4.917	0.0897	1.67			
4.933	0.0937	1.65			
4.950	0.0978	1.67			
4.967	0.1020	1.65			
4.983	0.1061	1.67			
5.000	0.1102	1.67			
5.017	0.1146	1.65			
5.033	0.1188	1.67			
5.050	0.1229	1.65			
5.067	0.1269	1.65			
5.083	0.1313	1.67			
5.100	0.1351	1.65			
5.117	0.1388	1.65			
5.133	0.1420	1.67			
5.150	0.1457	1.65			
5.167	0.1492	1.65			
5.183	0.1524	1.65			
5.200	0.1552	1.65			
5.217	0.1579	1.67			
5.233	0.1605	1.67			
5.250	0.1627	1.65			
5.267	0.1648	1.65			
5.283	0.1672	1.67			
5.300	0.1693	1.65			
5.317	0.1706	1.67			
5.333	0.1716	1.65			
5.350	0.1726	1.67			
5.367	0.1737	1.65			
5.383	0.1745	1.65			
5.400	0.1750	1.65			
5.417	0.1760	1.65			
5.433	0.1768	1.67			
5.450	0.1775	1.65			
5.467	0.1789	1.67			
5.483	0.1823	1.67			
5.500	0.1870	1.65			
5.517	0.1927	1.65			
5.533	0.1984	1.65			
5.550	0.2041	1.65			
5.567	0.2089	1.65			
5.583	0.2129	1.65			
5.600	0.2169	1.65			
5.617	0.2207	1.65			
5.633	0.2250	1.65			
5.650	0.2292	1.65			
5.667	0.2339	1.67			
5.683	0.2387	1.65			
5.700	0.2436	1.65			
5.717	0.2481	1.67			
5.733	0.2528	1.65			
5.750	0.2571	1.67			
5.767	0.2609	1.65			
5.783	0.2649	1.67			
5.800	0.2685	1.65			
5.817	0.2723	1.65			
5.833	0.2768	1.65			
5.850	0.2819	1.67			
5.867	0.2862	1.67			
5.883	0.2897	1.65			
5.900	0.2926	1.67			
5.917	0.2952	1.65			
5.933	0.2972	1.67			
5.950	0.2987	1.65			
5.967	0.2996	1.65			
5.983	0.2999	1.67			
6.000	0.3001	1.67			
6.017	0.2996	1.67			
6.033	0.2989	1.67			
6.050	0.2982	1.67			
6.067	0.2969	1.67			
6.083	0.2945	1.65			
6.100	0.2915	1.65			
6.117	0.2885	1.65			
6.133	0.2854	1.67			
6.150	0.2818	1.65			
6.167	0.2777	1.67			
6.183	0.2735	1.65			
6.200	0.2697	1.67			
6.217	0.2658	1.65			
6.233	0.2614	1.65			
6.250	0.2568	1.67			
6.267	0.2523	1.67			
6.283	0.2476	1.65			
6.300	0.2428	1.65			
6.317	0.2375	1.65			
6.333	0.2324	1.64			
6.350	0.2278	1.65			
6.367	0.2233	1.64			
6.383	0.2189	1.65			
6.400	0.2142	1.65			
6.417	0.2088	1.65			
6.433	0.2029	1.65			
6.450	0.1969	1.65			
6.467	0.1917	1.65			
6.483	0.1871	1.67			
6.500	0.1824	1.67			
6.517	0.1781	1.65			
6.533	0.1735	1.65			
6.550	0.1688	1.65			
6.567	0.1641	1.65			
6.583	0.1596	1.65			
6.600	0.1554	1.65			
6.617	0.1517	1.65			
6.633	0.1479	1.65			
6.650	0.1439	1.67			
6.667	0.1398	1.65			
6.683	0.1363	1.67			
6.700	0.1330	1.65			
6.717	0.1299	1.65			
6.733	0.1273	1.65			
6.750	0.1251	1.67			
6.767	0.1228	1.65			
6.783	0.1198	1.67			
6.800	0.1175	1.65			
6.817	0.1151	1.67			
6.833	0.1133	1.65			
6.850	0.1115	1.65			
6.867	0.1098	1.67			
6.883	0.1078	1.67			
6.900	0.1062	1.65			
6.917	0.1045	1.65			
6.933	0.1029	1.67			
6.950	0.1019	1.67			
6.967	0.1012	1.67			
6.983	0.1004	1.65			
7.000	0.0996	1.65			
7.017	0.0989	1.65			
7.033	0.0984	1.65			
7.050	0.0979	1.65			
7.067	0.0973	1.65			
7.083	0.0968	1.67			
7.100	0.0965	1.65			
7.117	0.0961	1.66			
7.133	0.0958	1.63			
7.150	0.0955	1.67			
7.167	0.0953	1.65			
7.183	0.0953	1.65			
7.200	0.0953	1.66			
7.217	0.0952	1.65			
7.233	0.0949	1.65			
7.250	0.0943	1.65			
7.267	0.0937	1.65			
7.283	0.0931	1.65			
7.300	0.0927	1.65			
7.317	0.0919	1.66			
7.333	0.0911	1.65			
7.350	0.0902	1.65			
7.367	0.0894	1.66			
7.383	0.0887	1.66			
7.400	0.0879	1.66			
7.417	0.0871	1.65			
7.433	0.0863	1.66			
7.450	0.0854	1.63			
7.467	0.0842	1.65			
7.483	0.0829	1.65			
7.500	0.0816	1.65			
7.517	0.0806	1.66			
7.533	0.0800	1.65			
7.550	0.0798	1.66			
7.567	0.0796	1.65			
7.583	0.0793	1.65			
7.600	0.0790	1.65			
7.617	0.0785	1.66			
7.633	0.0777	1.65			
7.650	0.0770	1.65			
7.667	0.0763	1.65			
7.683	0.0754	1.63			
7.700	0.0745	1.65			
7.717	0.0738	1.66			
7.733	0.0731	1.65			
7.750	0.0724	1.66			
7.767	0.0715	1.66			
7.783	0.0707	1.65			
7.800	0.0702	1.65			
7.817	0.0696	1.65			
7.833	0.0690	1.66			
7.850	0.0683	1.65			
7.867	0.0677	1.65			
7.883	0.0673	1.65			
7.900	0.0670	1.65			
7.917	0.0667	1.65			
7.933	0.0666	1.66			
7.950	0.0665	1.65			
7.967	0.0663	1.65			
7.983	0.0661	1.65			
8.000	0.0661	1.65			
8.017	0.0662	1.65			
8.033	0.0663	1.66			
8.050	0.0664	1.65			
8.067	0.0664	1.65			
8.083	0.0664	1.66			
8.100	0.0663	1.65			
8.117	0.0662	1.66			
8.133	0.0661	1.65			
8.150	0.0659	1.65			
8.167	0.0655	1.65			
8.183	0.0652	1.66			
8.200	0.0648	1.65			
8.217	0.0644	1.65			
8.233	0.0638	1.65			
8.250	0.0632	1.65			
8.267	0.0627	1.65			
8.283	0.0623	1.65			
8.300	0.0618	1.65			
8.317	0.0612	1.65			
8.333	0.0608	1.65			
8.350	0.0605	1.66			
8.367	0.0600	1.65			
8.383	0.0596	1.65			
8.400	0.0594	1.65			
8.417	0.0592	1.65			
8.433	0.0590	1.65			
8.450	0.0587	1.65			
8.467	0.0583	1.65			
8.483	0.0579	1.65			
8.500	0.0576	1.65			
8.517	0.0572	1.66			
8.533	0.0568	1.66			
8.550	0.0566	1.65			
8.567	0.0563	1.66			
8.583	0.0559	1.65			
8.600	0.0555	1.65			
8.617	0.0550	1.65			
8.633	0.0546	1.66			
8.650	0.0542	1.65			
8.667	0.0538	1.65			
8.683	0.0533	1.65			
8.700	0.0528	1.65			
8.717	0.0523	1.65			
8.733	0.0519	1.65			
8.750	0.0515	1.66			
8.767	0.0509	1.65			
8.783	0.0503	1.65			
8.800	0.0498	1.66			
8.817	0.0493	1.65			
8.833	0.0488	1.65			
8.850	0.0483	1.65			
8.867	0.0477	1.65			
8.883	0.0472	1.66			
8.900	0.0468	1.65			
8.917	0.0463	1.66			
8.933	0.0459	1.65			
8.950	0.0457	1.66			
8.967	0.0457	1.65			
8.983	0.0458	1.66			
9.000	0.0458	1.65			
9.017	0.0458	1.65			
9.033	0.0457	1.65			
9.050	0.0455	1.65			
9.067	0.0453	1.65			
9.083	0.0450	1.66			
9.100	0.0446	1.65			
9.117	0.0443	1.65			
9.133	0.0438	1.65			
9.150	0.0430	1.65			
9.167	0.0423	1.65			
9.183	0.0417	1.66			
9.200	0.0411	1.65			
9.217	0.0406	1.66			
9.233	0.0403	1.65			
9.250	0.0399	1.66			
