Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
9.267	0.0394	1.65			
9.283	0.0390	1.65			
9.300	0.0388	1.66			
9.317	0.0386	1.65			
9.333	0.0382	1.63			
9.350	0.0378	1.66			
9.367	0.0376	1.66			
9.383	0.0374	1.65			
9.400	0.0372	1.65			
9.417	0.0370	1.66			
9.433	0.0368	1.65			
9.450	0.0366	1.66			
9.467	0.0363	1.66			
9.483	0.0360	1.65			
9.500	0.0358	1.65			
9.517	0.0356	1.66			
9.533	0.0354	1.65			
9.550	0.0351	1.65			
9.567	0.0349	1.65			
9.583	0.0347	1.65			
9.600	0.0345	1.65			
9.617	0.0343	1.65			
9.633	0.0341	1.65			
9.650	0.0338	1.65			
9.667	0.0336	1.65			
9.683	0.0334	1.66			
9.700	0.0330	1.65			
9.717	0.0328	1.65			
9.733	0.0325	1.65			
9.750	0.0322	1.65			
9.767	0.0320	1.68			
9.783	0.0319	1.65			
9.800	0.0317	1.65			
9.817	0.0315	1.65			
9.833	0.0312	1.65			
9.850	0.0310	1.65			
9.867	0.0308	1.65			
9.883	0.0307	1.65			
9.900	0.0305	1.65			
9.917	0.0303	1.65			
9.933	0.0302	1.65			
9.950	0.0301	1.65			
9.967	0.0301	1.66			
9.983	0.0299	1.65			
10.000	0.0297	1.65			
10.017	0.0293	1.65			
10.033	0.0290	1.65			
10.050	0.0289	1.65			
10.067	0.0291	1.65			
10.083	0.0295	1.65			
10.100	0.0295	1.65			
10.117	0.0291	1.65			
10.133	0.0287	1.65			
10.150	0.0288	1.65			
10.167	0.0291	1.65			
10.183	0.0296	1.65			
10.200	0.0302	1.65			
10.217	0.0305	1.65			
10.233	0.0306	1.65			
10.250	0.0306	1.65			
10.267	0.0307	1.65			
10.283	0.0307	1.65			
10.300	0.0309	1.65			
10.317	0.0310	1.65			
10.333	0.0310	1.65			
10.350	0.0310	1.66			
10.367	0.0309	1.65			
10.383	0.0310	1.65			
10.400	0.0312	1.65			
10.417	0.0314	1.65			
10.433	0.0317	1.66			
10.450	0.0320	1.65			
10.467	0.0323	1.66			
10.483	0.0325	1.63			
10.500	0.0326	1.65			
10.517	0.0324	1.66			
10.533	0.0320	1.65			
10.550	0.0313	1.65			
10.567	0.0301	1.65			
10.583	0.0289	1.66			
10.600	0.0287	1.65			
10.617	0.0290	1.65			
10.633	0.0293	1.66			
10.650	0.0297	1.65			
10.667	0.0302	1.65			
10.683	0.0306	1.65			
10.700	0.0308	1.65			
10.717	0.0309	1.65			
10.733	0.0310	1.65			
10.750	0.0312	1.65			
10.767	0.0313	1.65			
10.783	0.0312	1.65			
10.800	0.0309	1.65			
10.817	0.0307	1.65			
10.833	0.0305	1.66			
10.850	0.0303	1.65			
10.867	0.0301	1.65			
10.883	0.0301	1.65			
10.900	0.0301	1.65			
10.917	0.0300	1.65			
10.933	0.0297	1.65			
10.950	0.0294	1.65			
10.967	0.0294	1.66			
10.983	0.0296	1.65			
11.000	0.0298	1.65			
11.017	0.0301	1.66			
11.033	0.0305	1.65			
11.050	0.0310	1.65			
11.067	0.0315	1.65			
11.083	0.0320	1.65			
11.100	0.0322	1.66			
11.117	0.0320	1.65			
11.133	0.0317	1.65			
11.150	0.0316	1.65			
11.167	0.0317	1.66			
11.183	0.0317	1.66			
11.200	0.0316	1.63			
11.217	0.0313	1.66			
11.233	0.0310	1.65			
11.250	0.0306	1.66			
11.267	0.0303	1.65			
11.283	0.0304	1.65			
11.300	0.0310	1.65			
11.317	0.0315	1.65			
11.333	0.0316	1.65			
