Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3.767	0.0772	1.73			
3.783	0.0773	1.71			
3.800	0.0773	1.73			
3.817	0.0773	1.71			
3.833	0.0772	1.73			
3.850	0.0770	1.73			
3.867	0.0768	1.71			
3.883	0.0765	1.71			
3.900	0.0762	1.73			
3.917	0.0762	1.71			
3.933	0.0757	1.73			
3.950	0.0751	1.71			
3.967	0.0742	1.73			
3.983	0.0735	1.73			
4.000	0.0728	1.71			
4.017	0.0722	1.71			
4.033	0.0713	1.73			
4.050	0.0704	1.71			
4.067	0.0696	1.71			
4.083	0.0689	1.71			
4.100	0.0682	1.71			
4.117	0.0674	1.73			
4.133	0.0668	1.73			
4.150	0.0663	1.71			
4.167	0.0658	1.73			
4.183	0.0654	1.73			
4.200	0.0653	1.73			
4.217	0.0652	1.71			
4.233	0.0652	1.73			
4.250	0.0655	1.73			
4.267	0.0660	1.71			
4.283	0.0666	1.73			
4.300	0.0675	1.73			
4.317	0.0686	1.73			
4.333	0.0699	1.71			
4.350	0.0716	1.73			
4.367	0.0734	1.71			
4.383	0.0753	1.71			
4.400	0.0775	1.71			
4.417	0.0801	1.71			
4.433	0.0829	1.71			
4.450	0.0857	1.71			
4.467	0.0888	1.71			
4.483	0.0923	1.71			
4.500	0.0959	1.71			
4.517	0.0997	1.71			
4.533	0.1034	1.71			
4.550	0.1074	1.71			
4.567	0.1117	1.71			
4.583	0.1164	1.71			
4.600	0.1206	1.73			
4.617	0.1250	1.73			
4.633	0.1295	1.71			
4.650	0.1341	1.73			
4.667	0.1385	1.71			
4.683	0.1428	1.73			
4.700	0.1474	1.71			
4.717	0.1519	1.73			
4.733	0.1564	1.71			
4.750	0.1606	1.73			
4.767	0.1651	1.73			
4.783	0.1693	1.71			
4.800	0.1733	1.73			
4.817	0.1771	1.71			
4.833	0.1807	1.71			
4.850	0.1843	1.71			
4.867	0.1875	1.71			
4.883	0.1907	1.71			
4.900	0.1938	1.73			
4.917	0.1969	1.71			
4.933	0.1998	1.71			
4.950	0.2024	1.71			
4.967	0.2051	1.71			
4.983	0.2079	1.71			
5.000	0.2109	1.73			
5.017	0.2138	1.71			
5.033	0.2168	1.71			
5.050	0.2201	1.71			
5.067	0.2240	1.71			
5.083	0.2285	1.71			
5.100	0.2330	1.71			
5.117	0.2370	1.71			
5.133	0.2415	1.71			
5.150	0.2465	1.71			
5.167	0.2518	1.71			
5.183	0.2569	1.71			
5.200	0.2625	1.71			
5.217	0.2678	1.73			
5.233	0.2732	1.71			
5.250	0.2785	1.71			
5.267	0.2842	1.73			
