Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0354	1.71			
0.017	0.0095	1.73			
0.033	0.0584	1.73			
0.050	0.0792	1.73			
0.067	0.0674	1.73			
0.083	0.0860	1.73			
0.100	0.0279	1.73			
0.117	0.1261	1.73			
0.133	0.2693	1.73			
0.150	0.3576	1.71			
0.167	0.3601	1.71			
0.183	0.3560	1.71			
0.200	0.3529	1.71			
0.217	0.3509	1.71			
0.233	0.3438	1.71			
0.250	0.3360	1.71			
0.267	0.3301	1.71			
0.283	0.3236	1.73			
0.300	0.3196	1.71			
0.317	0.3174	1.73			
0.333	0.3153	1.71			
0.350	0.3148	1.73			
0.367	0.3157	1.71			
0.383	0.3162	1.73			
0.400	0.3156	1.71			
0.417	0.3160	1.71			
0.433	0.3173	1.71			
0.450	0.3175	1.71			
0.467	0.3168	1.71			
0.483	0.3159	1.71			
0.500	0.3154	1.71			
0.517	0.3157	1.73			
0.533	0.3161	1.73			
0.550	0.3158	1.73			
0.567	0.3141	1.71			
0.583	0.3134	1.73			
0.600	0.3143	1.71			
0.617	0.3157	1.71			
0.633	0.3163	1.71			
0.650	0.3165	1.71			
0.667	0.3165	1.71			
0.683	0.3172	1.73			
0.700	0.3185	1.71			
0.717	0.3205	1.71			
0.733	0.3224	1.73			
0.750	0.3233	1.71			
0.767	0.3229	1.73			
0.783	0.3224	1.73			
0.800	0.3240	1.73			
0.817	0.3267	1.71			
0.833	0.3283	1.73			
0.850	0.3291	1.73			
0.867	0.3300	1.73			
0.883	0.3311	1.71			
0.900	0.3318	1.73			
0.917	0.3331	1.73			
0.933	0.3342	1.71			
0.950	0.3348	1.73			
0.967	0.3359	1.73			
0.983	0.3365	1.71			
1.000	0.3379	1.73			
1.017	0.3396	1.71			
1.033	0.3412	1.73			
1.050	0.3417	1.71			
1.067	0.3411	1.73			
1.083	0.3428	1.73			
1.100	0.3440	1.73			
1.117	0.3457	1.71			
1.133	0.3474	1.73			
1.150	0.3476	1.71			
1.167	0.3472	1.71			
1.183	0.3474	1.71			
1.200	0.3481	1.73			
1.217	0.3483	1.73			
1.233	0.3487	1.73			
1.250	0.3492	1.73			
1.267	0.3501	1.73			
1.283	0.3512	1.71			
1.300	0.3515	1.73			
