Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
1.317	0.3522	1.71			
1.333	0.3531	1.73			
1.350	0.3538	1.73			
1.367	0.3549	1.71			
1.383	0.3564	1.73			
1.400	0.3571	1.73			
1.417	0.3595	1.71			
1.433	0.3629	1.73			
1.450	0.3657	1.73			
1.467	0.3673	1.71			
1.483	0.3682	1.73			
1.500	0.3673	1.71			
1.517	0.3680	1.71			
1.533	0.3683	1.73			
1.550	0.3682	1.71			
1.567	0.3681	1.73			
1.583	0.3693	1.73			
1.600	0.3712	1.71			
1.617	0.3722	1.73			
1.633	0.3735	1.71			
1.650	0.3749	1.71			
1.667	0.3759	1.71			
1.683	0.3760	1.71			
1.700	0.3760	1.73			
1.717	0.3772	1.71			
1.733	0.3791	1.73			
1.750	0.3805	1.71			
1.767	0.3815	1.73			
1.783	0.3826	1.71			
1.800	0.3834	1.73			
1.817	0.3830	1.71			
1.833	0.3827	1.71			
1.850	0.3830	1.71			
1.867	0.3834	1.71			
1.883	0.3831	1.73			
1.900	0.3832	1.73			
1.917	0.3837	1.73			
1.933	0.3838	1.71			
1.950	0.3834	1.73			
1.967	0.3827	1.71			
1.983	0.3827	1.73			
2.000	0.3827	1.71			
2.017	0.3823	1.71			
2.033	0.3815	1.71			
2.050	0.3808	1.71			
2.067	0.3800	1.73			
2.083	0.3792	1.73			
2.100	0.3787	1.71			
2.117	0.3781	1.73			
2.133	0.3776	1.73			
2.150	0.3770	1.73			
2.167	0.3763	1.71			
2.183	0.3753	1.71			
2.200	0.3746	1.73			
2.217	0.3738	1.71			
2.233	0.3727	1.71			
2.250	0.3718	1.73			
2.267	0.3709	1.71			
2.283	0.3699	1.71			
2.300	0.3691	1.71			
2.317	0.3680	1.73			
2.333	0.3669	1.71			
2.350	0.3659	1.71			
2.367	0.3650	1.71			
2.383	0.3639	1.71			
2.400	0.3628	1.71			
2.417	0.3622	1.73			
2.433	0.3609	1.71			
2.450	0.3599	1.73			
2.467	0.3588	1.73			
2.483	0.3571	1.71			
2.500	0.3557	1.73			
2.517	0.3545	1.71			
2.533	0.3530	1.71			
2.550	0.3519	1.73			
2.567	0.3507	1.71			
2.583	0.3492	1.73			
2.600	0.3479	1.71			
2.617	0.3464	1.71			
2.633	0.3449	1.71			
2.650	0.3437	1.71			
2.667	0.3420	1.71			
2.683	0.3401	1.71			
2.700	0.3387	1.71			
2.717	0.3370	1.73			
2.733	0.3351	1.71			
2.750	0.3334	1.71			
2.767	0.3315	1.73			
2.783	0.3297	1.73			
2.800	0.3280	1.71			
2.817	0.3261	1.71			
2.833	0.3239	1.73			
2.850	0.3223	1.71			
2.867	0.3205	1.73			
2.883	0.3185	1.73			
2.900	0.3168	1.73			
2.917	0.3149	1.71			
2.933	0.3127	1.73			
2.950	0.3109	1.71			
2.967	0.3091	1.73			
2.983	0.3069	1.71			
3.000	0.3051	1.71			
3.017	0.3031	1.73			
3.033	0.3007	1.71			
3.050	0.2988	1.73			
3.067	0.2967	1.71			
3.083	0.2946	1.71			
3.100	0.2927	1.71			
3.117	0.2905	1.73			
3.133	0.2881	1.71			
3.150	0.2862	1.71			
3.167	0.2842	1.71			
3.183	0.2820	1.73			
3.200	0.2802	1.73			
3.217	0.2782	1.73			
3.233	0.2759	1.71			
3.250	0.2741	1.73			
3.267	0.2721	1.73			
3.283	0.2699	1.73			
3.300	0.2681	1.71			
3.317	0.2661	1.73			
3.333	0.2640	1.71			
3.350	0.2622	1.71			
3.367	0.2601	1.71			
3.383	0.2577	1.71			
3.400	0.2559	1.71			
3.417	0.2537	1.71			
3.433	0.2512	1.71			
3.450	0.2490	1.73			
3.467	0.2467	1.71			
3.483	0.2444	1.73			
3.500	0.2428	1.71			
3.517	0.2406	1.73			
3.533	0.2380	1.71			
3.550	0.2358	1.71			
3.567	0.2334	1.73			
3.583	0.2309	1.73			
3.600	0.2287	1.71			
3.617	0.2263	1.73			
3.633	0.2235	1.71			
3.650	0.2213	1.73			
3.667	0.2189	1.71			
3.683	0.2163	1.71			
3.700	0.2141	1.71			
3.717	0.2116	1.71			
3.733	0.2088	1.71			
3.750	0.2065	1.73			
3.767	0.2041	1.71			
3.783	0.2014	1.73			
3.800	0.1991	1.71			
3.817	0.1965	1.71			
3.833	0.1941	1.71			
3.850	0.1920	1.71			
3.867	0.1895	1.73			
3.883	0.1869	1.73			
3.900	0.1846	1.71			
3.917	0.1821	1.73			
3.933	0.1795	1.73			
3.950	0.1775	1.71			
3.967	0.1754	1.73			
3.983	0.1731	1.71			
4.000	0.1712	1.73			
4.017	0.1692	1.71			
4.033	0.1669	1.73			
4.050	0.1650	1.71			
4.067	0.1629	1.73			
4.083	0.1607	1.71			
4.100	0.1589	1.71			
4.117	0.1571	1.71			
4.133	0.1551	1.73			
4.150	0.1533	1.73			
4.167	0.1516	1.73			
4.183	0.1497	1.71			
4.200	0.1482	1.73			
4.217	0.1465	1.73			
4.233	0.1447	1.73			
4.250	0.1433	1.71			
4.267	0.1417	1.71			
4.283	0.1400	1.71			
4.300	0.1386	1.73			
4.317	0.1371	1.71			
4.333	0.1354	1.71			
4.350	0.1340	1.71			
4.367	0.1325	1.73			
4.383	0.1309	1.73			
4.400	0.1297	1.73			
4.417	0.1283	1.73			
4.433	0.1269	1.71			
4.450	0.1257	1.73			
4.467	0.1243	1.71			
4.483	0.1228	1.71			
4.500	0.1217	1.71			
4.517	0.1205	1.73			
4.533	0.1192	1.71			
4.550	0.1181	1.73			
4.567	0.1169	1.71			
4.583	0.1158	1.71			
4.600	0.1149	1.71			
4.617	0.1137	1.71			
4.633	0.1124	1.71			
4.650	0.1115	1.73			
4.667	0.1106	1.71			
4.683	0.1095	1.73			
4.700	0.1086	1.71			
4.717	0.1074	1.71			
4.733	0.1063	1.73			
4.750	0.1055	1.71			
4.767	0.1045	1.73			
4.783	0.1039	1.73			
4.800	0.1033	1.73			
4.817	0.1027	1.71			
4.833	0.1022	1.73			
4.850	0.1020	1.71			
4.867	0.1018	1.73			
4.883	0.1018	1.71			
4.900	0.1017	1.71			
4.917	0.1019	1.73			
4.933	0.1025	1.71			
4.950	0.1031	1.73			
4.967	0.1038	1.71			
4.983	0.1051	1.73			
5.000	0.1061	1.71			
5.017	0.1071	1.71			
5.033	0.1086	1.73			
5.050	0.1100	1.73			
5.067	0.1115	1.73			
5.083	0.1132	1.71			
5.100	0.1148	1.71			
5.117	0.1168	1.71			
5.133	0.1190	1.71			
5.150	0.1209	1.71			
5.167	0.1231	1.71			
5.183	0.1256	1.71			
5.200	0.1274	1.71			
5.217	0.1293	1.73			
5.233	0.1312	1.73			
5.250	0.1329	1.73			
5.267	0.1346	1.71			
5.283	0.1364	1.71			
5.300	0.1377	1.71			
5.317	0.1392	1.71			
5.333	0.1409	1.73			
5.350	0.1423	1.71			
5.367	0.1438	1.71			
5.383	0.1452	1.71			
5.400	0.1462	1.73			
5.417	0.1473	1.71			
5.433	0.1486	1.73			
5.450	0.1498	1.71			
5.467	0.1509	1.73			
5.483	0.1516	1.71			
5.500	0.1523	1.71			
5.517	0.1532	1.71			
5.533	0.1545	1.71			
5.550	0.1553	1.71			
5.567	0.1560	1.73			
5.583	0.1568	1.73			
5.600	0.1576	1.73			
5.617	0.1584	1.73			
5.633	0.1593	1.71			
5.650	0.1602	1.71			
5.667	0.1612	1.71			
5.683	0.1623	1.71			
5.700	0.1633	1.73			
5.717	0.1644	1.73			
5.733	0.1658	1.73			
5.750	0.1669	1.73			
5.767	0.1683	1.71			
5.783	0.1699	1.73			
5.800	0.1714	1.71			
5.817	0.1730	1.71			
5.833	0.1748	1.73			
5.850	0.1764	1.71			
5.867	0.1782	1.71			
5.883	0.1802	1.71			
5.900	0.1818	1.73			
5.917	0.1836	1.71			
5.933	0.1855	1.73			
5.950	0.1871	1.71			
5.967	0.1887	1.71			
5.983	0.1903	1.73			
6.000	0.1917	1.71			
6.017	0.1932	1.71			
6.033	0.1947	1.71			
6.050	0.1958	1.71			
6.067	0.1969	1.73			
6.083	0.1982	1.71			
6.100	0.1992	1.73			
6.117	0.2001	1.71			
6.133	0.2009	1.71			
6.150	0.2015	1.71			
6.167	0.2020	1.73			
6.183	0.2023	1.71			
6.200	0.2024	1.71			
6.217	0.2025	1.73			
6.233	0.2025	1.71			
6.250	0.2023	1.71			
6.267	0.2020	1.71			
6.283	0.2015	1.73			
6.300	0.2010	1.71			
6.317	0.2004	1.73			
6.333	0.1998	1.71			
6.350	0.1993	1.73			
6.367	0.1985	1.71			
6.383	0.1971	1.73			
6.400	0.1955	1.73			
6.417	0.1934	1.73			
6.433	0.1913	1.73			
6.450	0.1897	1.71			
6.467	0.1879	1.73			
6.483	0.1861	1.71			
6.500	0.1849	1.73			
6.517	0.1836	1.71			
6.533	0.1820	1.73			
6.550	0.1807	1.71			
6.567	0.1793	1.71			
6.583	0.1776	1.71			
6.600	0.1762	1.71			
6.617	0.1744	1.71			
6.633	0.1727	1.71			
6.650	0.1713	1.71			
6.667	0.1695	1.73			
6.683	0.1675	1.71			
6.700	0.1659	1.73			
6.717	0.1640	1.71			
6.733	0.1619	1.71			
6.750	0.1602	1.73			
6.767	0.1581	1.73			
6.783	0.1558	1.71			
6.800	0.1540	1.73			
6.817	0.1518	1.71			
6.833	0.1494	1.73			
6.850	0.1476	1.73			
6.867	0.1455	1.71			
6.883	0.1428	1.71			
6.900	0.1407	1.71			
6.917	0.1383	1.73			
6.933	0.1357	1.71			
6.950	0.1336	1.73			
6.967	0.1311	1.71			
6.983	0.1283	1.73			
7.000	0.1261	1.71			
7.017	0.1237	1.73			
7.033	0.1213	1.73			
7.050	0.1195	1.73			
7.067	0.1176	1.71			
7.083	0.1155	1.73			
7.100	0.1136	1.71			
7.117	0.1115	1.73			
7.133	0.1090	1.73			
7.150	0.1071	1.71			
7.167	0.1050	1.73			
7.183	0.1029	1.71			
7.200	0.1011	1.73			
7.217	0.0995	1.73			
7.233	0.0978	1.71			
7.250	0.0964	1.71			
7.267	0.0949	1.73			
7.283	0.0935	1.73			
7.300	0.0924	1.73			
7.317	0.0911	1.71			
7.333	0.0897	1.71			
7.350	0.0887	1.71			
7.367	0.0878	1.71			
7.383	0.0867	1.73			
7.400	0.0857	1.71			
7.417	0.0847	1.73			
7.433	0.0839	1.71			
7.450	0.0834	1.71			
7.467	0.0826	1.71			
7.483	0.0817	1.73			
7.500	0.0809	1.73			
7.517	0.0801	1.73			
7.533	0.0793	1.73			
7.550	0.0788	1.73			
7.567	0.0785	1.71			
7.583	0.0781	1.71			
7.600	0.0776	1.71			
7.617	0.0773	1.71			
7.633	0.0770	1.73			
7.650	0.0766	1.71			
7.667	0.0762	1.73			
7.683	0.0757	1.71			
7.700	0.0753	1.73			
7.717	0.0748	1.71			
7.733	0.0743	1.71			
7.750	0.0739	1.71			
7.767	0.0736	1.73			
7.783	0.0735	1.71			
7.800	0.0734	1.71			
7.817	0.0731	1.73			
7.833	0.0727	1.73			
7.850	0.0725	1.73			
7.867	0.0722	1.71			
7.883	0.0717	1.73			
7.900	0.0713	1.71			
7.917	0.0709	1.73			
7.933	0.0705	1.71			
7.950	0.0702	1.73			
7.967	0.0699	1.73			
7.983	0.0696	1.71			
8.000	0.0694	1.71			
8.017	0.0692	1.71			
8.033	0.0691	1.73			
8.050	0.0690	1.71			
8.067	0.0690	1.73			
8.083	0.0689	1.71			
8.100	0.0689	1.75			
8.117	0.0693	1.71			
8.133	0.0695	1.73			
8.150	0.0698	1.71			
8.167	0.0699	1.71			
8.183	0.0703	1.73			
8.200	0.0706	1.71			
8.217	0.0709	1.71			
8.233	0.0712	1.71			
8.250	0.0712	1.71			
8.267	0.0714	1.73			
8.283	0.0714	1.73			
8.300	0.0714	1.73			
8.317	0.0712	1.73			
8.333	0.0710	1.73			
8.350	0.0710	1.71			
8.367	0.0710	1.73			
8.383	0.0711	1.73			
8.400	0.0712	1.71			
8.417	0.0713	1.73			
8.433	0.0714	1.71			
8.450	0.0714	1.73			
8.467	0.0714	1.71			
8.483	0.0715	1.71			
8.500	0.0715	1.71			
8.517	0.0716	1.71			
8.533	0.0717	1.71			
8.550	0.0718	1.71			
8.567	0.0719	1.73			
8.583	0.0720	1.71			
8.600	0.0721	1.71			
8.617	0.0722	1.73			
8.633	0.0725	1.71			
8.650	0.0727	1.71			
8.667	0.0730	1.71			
8.683	0.0734	1.73			
8.700	0.0738	1.73			
8.717	0.0742	1.71			
8.733	0.0746	1.71			
8.750	0.0748	1.73			
8.767	0.0750	1.71			
8.783	0.0752	1.71			
8.800	0.0755	1.71			
8.817	0.0757	1.71			
8.833	0.0760	1.73			
8.850	0.0763	1.71			
8.867	0.0767	1.73			
8.883	0.0771	1.71			
8.900	0.0774	1.73			
8.917	0.0777	1.71			
8.933	0.0780	1.73			
8.950	0.0782	1.71			
8.967	0.0784	1.73			
8.983	0.0786	1.71			
9.000	0.0788	1.71			
9.017	0.0790	1.71			
9.033	0.0792	1.71			
9.050	0.0794	1.71			
9.067	0.0796	1.71			
9.083	0.0799	1.73			
9.100	0.0801	1.73			
9.117	0.0804	1.71			
9.133	0.0807	1.71			
9.150	0.0809	1.71			
9.167	0.0812	1.73			
9.183	0.0814	1.71			
9.200	0.0816	1.71			
9.217	0.0818	1.71			
9.233	0.0820	1.71			
9.250	0.0822	1.71			
9.267	0.0825	1.71			
9.283	0.0827	1.73			
9.300	0.0827	1.71			
9.317	0.0829	1.73			
9.333	0.0829	1.71			
9.350	0.0830	1.71			
9.367	0.0831	1.73			
9.383	0.0832	1.73			
9.400	0.0832	1.71			
9.417	0.0833	1.71			
9.433	0.0834	1.71			
9.450	0.0834	1.71			
9.467	0.0834	1.71			
9.483	0.0834	1.71			
9.500	0.0834	1.71			
9.517	0.0834	1.73			
9.533	0.0835	1.69			
9.550	0.0835	1.73			
9.567	0.0836	1.71			
9.583	0.0837	1.73			
9.600	0.0838	1.71			
9.617	0.0840	1.73			
9.633	0.0842	1.71			
9.650	0.0843	1.73			
9.667	0.0845	1.73			
9.683	0.0848	1.73			
9.700	0.0849	1.71			
9.717	0.0851	1.71			
9.733	0.0852	1.71			
9.750	0.0853	1.71			
9.767	0.0854	1.69			
9.783	0.0854	1.71			
9.800	0.0855	1.71			
9.817	0.0856	1.71			
9.833	0.0857	1.71			
9.850	0.0860	1.73			
9.867	0.0859	1.71			
9.883	0.0857	1.71			
9.900	0.0856	1.71			
9.917	0.0857	1.71			
9.933	0.0857	1.69			
9.950	0.0857	1.73			
9.967	0.0858	1.71			
9.983	0.0859	1.73			
10.000	0.0860	1.71			
10.017	0.0861	1.71			
10.033	0.0862	1.71			
10.050	0.0863	1.71			
10.067	0.0863	1.71			
10.083	0.0864	1.71			
10.100	0.0864	1.73			
10.117	0.0864	1.71			
10.133	0.0864	1.73			
10.150	0.0864	1.71			
10.167	0.0864	1.73			
10.183	0.0864	1.71			
10.200	0.0863	1.73			
10.217	0.0862	1.71			
10.233	0.0861	1.71			
10.250	0.0860	1.73			
10.267	0.0859	1.71			
10.283	0.0858	1.69			
10.300	0.0857	1.71			
10.317	0.0856	1.71			
10.333	0.0855	1.71			
10.350	0.0855	1.71			
10.367	0.0854	1.69			
10.383	0.0853	1.73			
10.400	0.0853	1.71			
10.417	0.0852	1.71			
10.433	0.0851	1.71			
10.450	0.0850	1.71			
10.467	0.0849	1.71			
10.483	0.0848	1.71			
10.500	0.0847	1.69			
10.517	0.0846	1.73			
10.533	0.0845	1.71			
10.550	0.0845	1.71			
10.567	0.0844	1.71			
10.583	0.0843	1.71			
10.600	0.0843	1.71			
10.617	0.0843	1.71			
10.633	0.0844	1.71			
10.650	0.0844	1.71			
10.667	0.0845	1.71			
10.683	0.0846	1.71			
10.700	0.0847	1.71			
10.717	0.0848	1.71			
10.733	0.0850	1.71			
10.750	0.0852	1.73			
10.767	0.0855	1.69			
10.783	0.0859	1.73			
10.800	0.0862	1.73			
10.817	0.0867	1.69			
10.833	0.0873	1.73			
10.850	0.0878	1.71			
10.867	0.0884	1.71			
10.883	0.0889	1.71			
10.900	0.0893	1.73			
10.917	0.0897	1.71			
10.933	0.0902	1.71			
10.950	0.0907	1.71			
10.967	0.0912	1.71			
10.983	0.0914	1.71			
11.000	0.0916	1.71			
11.017	0.0916	1.71			
11.033	0.0916	1.73			
11.050	0.0917	1.71			
11.067	0.0916	1.71			
11.083	0.0915	1.71			
11.100	0.0913	1.71			
11.117	0.0912	1.71			
11.133	0.0910	1.69			
11.150	0.0910	1.71			
11.167	0.0912	1.71			
11.183	0.0916	1.71			
11.200	0.0921	1.71			
11.217	0.0928	1.71			
11.233	0.0934	1.71			
11.250	0.0936	1.71			
11.267	0.0940	1.71			
11.283	0.0944	1.71			
11.300	0.0947	1.73			
11.317	0.0949	1.73			
11.333	0.0951	1.71			
11.350	0.0952	1.73			
11.367	0.0951	1.71			
11.383	0.0950	1.71			
11.400	0.0950	1.71			
11.417	0.0950	1.71			
11.433	0.0950	1.71			
11.450	0.0949	1.71			
11.467	0.0946	1.73			
11.483	0.0942	1.71			
11.500	0.0936	1.73			
11.517	0.0928	1.69			
11.533	0.0921	1.71			
