Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3.767	0.2434	1.71			
3.783	0.2432	1.71			
3.800	0.2430	1.73			
3.817	0.2428	1.71			
3.833	0.2426	1.71			
3.850	0.2424	1.71			
3.867	0.2423	1.73			
3.883	0.2422	1.71			
3.900	0.2421	1.71			
3.917	0.2421	1.73			
3.933	0.2421	1.73			
3.950	0.2422	1.73			
3.967	0.2423	1.71			
3.983	0.2425	1.71			
4.000	0.2428	1.71			
4.017	0.2432	1.73			
4.033	0.2436	1.71			
4.050	0.2442	1.73			
4.067	0.2448	1.70			
4.083	0.2456	1.73			
4.100	0.2465	1.71			
4.117	0.2473	1.71			
4.133	0.2481	1.71			
4.150	0.2491	1.71			
4.167	0.2499	1.73			
4.183	0.2509	1.71			
4.200	0.2519	1.73			
4.217	0.2528	1.73			
4.233	0.2537	1.71			
4.250	0.2545	1.73			
4.267	0.2553	1.71			
4.283	0.2562	1.71			
4.300	0.2569	1.73			
4.317	0.2574	1.71			
4.333	0.2578	1.73			
4.350	0.2582	1.71			
4.367	0.2585	1.73			
4.383	0.2585	1.71			
4.400	0.2584	1.71			
4.417	0.2582	1.71			
4.433	0.2579	1.71			
4.450	0.2574	1.71			
4.467	0.2568	1.71			
4.483	0.2559	1.73			
4.500	0.2546	1.71			
4.517	0.2535	1.73			
4.533	0.2521	1.71			
4.550	0.2503	1.71			
4.567	0.2487	1.73			
4.583	0.2468	1.71			
4.600	0.2445	1.71			
4.617	0.2426	1.71			
4.633	0.2404	1.73			
4.650	0.2378	1.73			
4.667	0.2356	1.73			
4.683	0.2330	1.73			
4.700	0.2301	1.71			
4.717	0.2276	1.73			
4.733	0.2249	1.71			
4.750	0.2219	1.73			
4.767	0.2195	1.71			
4.783	0.2166	1.71			
4.800	0.2136	1.73			
4.817	0.2110	1.73			
4.833	0.2082	1.71			
4.850	0.2050	1.71			
4.867	0.2026	1.71			
4.883	0.2000	1.71			
4.900	0.1968	1.73			
4.917	0.1943	1.73			
4.933	0.1917	1.71			
4.950	0.1889	1.71			
4.967	0.1863	1.73			
4.983	0.1836	1.71			
5.000	0.1807	1.71			
5.017	0.1786	1.73			
5.033	0.1762	1.70			
5.050	0.1735	1.73			
5.067	0.1714	1.73			
5.083	0.1691	1.71			
5.100	0.1666	1.71			
5.117	0.1644	1.71			
5.133	0.1622	1.71			
5.150	0.1600	1.71			
5.167	0.1583	1.71			
5.183	0.1563	1.71			
5.200	0.1542	1.71			
5.217	0.1526	1.71			
5.233	0.1509	1.71			
5.250	0.1490	1.71			
5.267	0.1474	1.71			
5.283	0.1457	1.73			
5.300	0.1437	1.73			
5.317	0.1420	1.73			
5.333	0.1402	1.73			
5.350	0.1383	1.73			
5.367	0.1368	1.73			
5.383	0.1352	1.73			
5.400	0.1335	1.73			
5.417	0.1322	1.71			
5.433	0.1310	1.73			
5.450	0.1298	1.71			
5.467	0.1288	1.71			
