Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3.767	0.0471	1.79			
3.783	0.0481	1.77			
3.800	0.0493	1.77			
3.817	0.0506	1.77			
3.833	0.0522	1.77			
3.850	0.0538	1.77			
3.867	0.0555	1.79			
3.883	0.0573	1.77			
3.900	0.0591	1.79			
3.917	0.0610	1.77			
3.933	0.0630	1.77			
3.950	0.0654	1.79			
3.967	0.0685	1.77			
3.983	0.0720	1.77			
4.000	0.0759	1.77			
4.017	0.0797	1.77			
4.033	0.0834	1.77			
4.050	0.0865	1.77			
4.067	0.0894	1.78			
4.083	0.0920	1.78			
4.100	0.0945	1.80			
4.117	0.0971	1.77			
4.133	0.0995	1.80			
4.150	0.1018	1.78			
4.167	0.1039	1.78			
4.183	0.1061	1.78			
4.200	0.1082	1.78			
4.217	0.1102	1.78			
4.233	0.1120	1.80			
4.250	0.1134	1.78			
4.267	0.1150	1.78			
4.283	0.1164	1.78			
4.300	0.1175	1.78			
4.317	0.1183	1.78			
4.333	0.1192	1.80			
4.350	0.1200	1.78			
4.367	0.1205	1.80			
4.383	0.1208	1.78			
4.400	0.1209	1.76			
4.417	0.1209	1.80			
4.433	0.1206	1.78			
4.450	0.1203	1.78			
4.467	0.1199	1.78			
4.483	0.1193	1.78			
4.500	0.1186	1.78			
4.517	0.1177	1.78			
4.533	0.1169	1.78			
4.550	0.1161	1.78			
4.567	0.1152	1.80			
4.583	0.1142	1.78			
4.600	0.1131	1.78			
4.617	0.1121	1.78			
4.633	0.1111	1.78			
4.650	0.1099	1.78			
4.667	0.1088	1.80			
4.683	0.1081	1.78			
4.700	0.1073	1.78			
4.717	0.1063	1.78			
4.733	0.1050	1.78			
4.750	0.1038	1.78			
4.767	0.1025	1.78			
4.783	0.1014	1.78			
4.800	0.1005	1.78			
4.817	0.0996	1.80			
4.833	0.0988	1.78			
4.850	0.0980	1.78			
4.867	0.0973	1.78			
4.883	0.0967	1.80			
4.900	0.0961	1.78			
4.917	0.0956	1.78			
4.933	0.0951	1.78			
4.950	0.0946	1.78			
4.967	0.0943	1.78			
4.983	0.0940	1.80			
5.000	0.0937	1.78			
5.017	0.0933	1.80			
5.033	0.0930	1.78			
5.050	0.0928	1.80			
5.067	0.0927	1.80			
5.083	0.0926	1.78			
5.100	0.0923	1.78			
5.117	0.0920	1.78			
5.133	0.0916	1.78			
5.150	0.0911	1.78			
5.167	0.0906	1.78			
5.183	0.0901	1.78			
5.200	0.0895	1.78			
5.217	0.0888	1.78			
5.233	0.0882	1.78			
5.250	0.0876	1.78			
5.267	0.0870	1.80			
5.283	0.0863	1.78			
5.300	0.0855	1.78			
5.317	0.0845	1.78			
5.333	0.0833	1.78			
5.350	0.0820	1.78			
5.367	0.0806	1.78			
5.383	0.0790	1.78			
5.400	0.0773	1.78			
5.417	0.0757	1.80			
5.433	0.0741	1.78			
5.450	0.0727	1.78			
5.467	0.0713	1.78			
5.483	0.0701	1.78			
5.500	0.0691	1.78			
5.517	0.0681	1.78			
5.533	0.0672	1.78			
5.550	0.0663	1.78			
5.567	0.0655	1.78			
5.583	0.0647	1.78			
5.600	0.0640	1.78			
5.617	0.0632	1.78			
5.633	0.0623	1.78			
5.650	0.0615	1.80			
5.667	0.0608	1.78			
5.683	0.0598	1.80			
5.700	0.0587	1.78			
5.717	0.0577	1.78			
5.733	0.0567	1.78			
5.750	0.0558	1.78			
5.767	0.0549	1.78			
5.783	0.0540	1.76			
5.800	0.0531	1.78			
5.817	0.0523	1.78			
5.833	0.0515	1.78			
5.850	0.0507	1.78			
5.867	0.0499	1.76			
5.883	0.0492	1.80			
5.900	0.0484	1.76			
5.917	0.0477	1.78			
5.933	0.0470	1.78			
5.950	0.0464	1.78			
5.967	0.0457	1.78			
5.983	0.0449	1.78			
6.000	0.0443	1.78			
6.017	0.0436	1.78			
6.033	0.0430	1.78			
6.050	0.0423	1.78			
6.067	0.0417	1.78			
6.083	0.0410	1.78			
6.100	0.0405	1.78			
6.117	0.0399	1.78			
6.133	0.0394	1.78			
6.150	0.0388	1.78			
6.167	0.0383	1.78			
6.183	0.0378	1.78			
6.200	0.0374	1.78			
6.217	0.0369	1.78			
6.233	0.0364	1.76			
6.250	0.0358	1.78			
6.267	0.0354	1.78			
6.283	0.0350	1.78			
6.300	0.0347	1.78			
6.317	0.0346	1.78			
6.333	0.0345	1.78			
6.350	0.0343	1.76			
6.367	0.0339	1.78			
6.383	0.0334	1.78			
6.400	0.0329	1.78			
6.417	0.0324	1.78			
6.433	0.0319	1.80			
6.450	0.0314	1.78			
6.467	0.0310	1.78			
6.483	0.0306	1.78			
6.500	0.0303	1.78			
6.517	0.0299	1.78			
6.533	0.0295	1.78			
6.550	0.0292	1.80			
6.567	0.0290	1.78			
6.583	0.0288	1.76			
6.600	0.0287	1.78			
6.617	0.0286	1.78			
6.633	0.0286	1.80			
6.650	0.0285	1.78			
6.667	0.0285	1.80			
