Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
1.150	0.3051	1.81			
1.167	0.3046	1.80			
1.183	0.3044	1.80			
1.200	0.3045	1.80			
1.217	0.3042	1.80			
1.233	0.3036	1.80			
1.250	0.3031	1.80			
1.267	0.3027	1.80			
1.283	0.3025	1.80			
1.300	0.3020	1.80			
1.317	0.3016	1.80			
1.333	0.3014	1.80			
1.350	0.3005	1.81			
1.367	0.2991	1.78			
1.383	0.2980	1.81			
1.400	0.2960	1.80			
1.417	0.2929	1.80			
1.433	0.2901	1.81			
1.450	0.2875	1.80			
1.467	0.2853	1.81			
1.483	0.2835	1.80			
1.500	0.2812	1.80			
1.517	0.2786	1.80			
1.533	0.2769	1.80			
1.550	0.2749	1.80			
1.567	0.2721	1.80			
1.583	0.2701	1.80			
1.600	0.2682	1.81			
1.617	0.2660	1.80			
1.633	0.2638	1.80			
1.650	0.2613	1.80			
1.667	0.2587	1.80			
1.683	0.2567	1.80			
1.700	0.2548	1.80			
1.717	0.2523	1.80			
1.733	0.2503	1.80			
1.750	0.2481	1.81			
1.767	0.2453	1.80			
1.783	0.2431	1.80			
1.800	0.2405	1.80			
1.817	0.2379	1.80			
1.833	0.2355	1.80			
1.850	0.2329	1.81			
1.867	0.2305	1.81			
1.883	0.2284	1.80			
1.900	0.2256	1.81			
1.917	0.2226	1.80			
1.933	0.2202	1.81			
1.950	0.2175	1.80			
1.967	0.2145	1.80			
1.983	0.2118	1.80			
2.000	0.2090	1.80			
2.017	0.2057	1.80			
2.033	0.2032	1.80			
2.050	0.2004	1.81			
2.067	0.1974	1.80			
2.083	0.1949	1.78			
2.100	0.1922	1.80			
2.117	0.1888	1.80			
2.133	0.1862	1.80			
2.150	0.1833	1.80			
2.167	0.1801	1.81			
2.183	0.1776	1.80			
2.200	0.1749	1.80			
2.217	0.1714	1.80			
2.233	0.1685	1.80			
2.250	0.1656	1.80			
2.267	0.1624	1.80			
2.283	0.1597	1.80			
2.300	0.1571	1.81			
2.317	0.1541	1.80			
2.333	0.1516	1.80			
2.350	0.1487	1.80			
2.367	0.1457	1.80			
2.383	0.1432	1.80			
2.400	0.1409	1.80			
2.417	0.1381	1.80			
2.433	0.1357	1.76			
2.450	0.1330	1.80			
2.467	0.1304	1.80			
2.483	0.1281	1.80			
2.500	0.1257	1.80			
2.517	0.1230	1.80			
2.533	0.1209	1.80			
2.550	0.1187	1.80			
2.567	0.1162	1.80			
2.583	0.1143	1.80			
2.600	0.1121	1.77			
2.617	0.1099	1.80			
2.633	0.1081	1.79			
2.650	0.1060	1.79			
2.667	0.1038	1.81			
2.683	0.1021	1.77			
2.700	0.1003	1.81			
2.717	0.0984	1.77			
2.733	0.0968	1.77			
2.750	0.0950	1.79			
2.767	0.0932	1.79			
2.783	0.0919	1.79			
2.800	0.0907	1.79			
2.817	0.0891	1.77			
2.833	0.0879	1.79			
2.850	0.0866	1.79			
2.867	0.0854	1.79			
2.883	0.0847	1.79			
2.900	0.0838	1.81			
2.917	0.0832	1.79			
2.933	0.0826	1.79			
2.950	0.0819	1.79			
2.967	0.0808	1.81			
2.983	0.0804	1.79			
3.000	0.0800	1.79			
3.017	0.0794	1.79			
3.033	0.0789	1.79			
3.050	0.0786	1.79			
3.067	0.0783	1.79			
3.083	0.0782	1.77			
3.100	0.0781	1.79			
3.117	0.0781	1.81			
3.133	0.0781	1.79			
3.150	0.0782	1.79			
3.167	0.0783	1.77			
3.183	0.0786	1.79			
3.200	0.0788	1.79			
3.217	0.0791	1.79			
3.233	0.0794	1.79			
3.250	0.0798	1.81			
3.267	0.0803	1.79			
3.283	0.0806	1.79			
3.300	0.0810	1.79			
3.317	0.0815	1.79			
3.333	0.0820	1.79			
3.350	0.0825	1.79			
3.367	0.0831	1.79			
3.383	0.0835	1.79			
3.400	0.0841	1.79			
3.417	0.0850	1.79			
3.433	0.0859	1.79			
3.450	0.0865	1.81			
3.467	0.0868	1.79			
3.483	0.0868	1.79			
3.500	0.0872	1.79			
3.517	0.0876	1.79			
3.533	0.0879	1.79			
3.550	0.0883	1.79			
3.567	0.0886	1.79			
3.583	0.0889	1.77			
3.600	0.0891	1.79			
3.617	0.0893	1.79			
3.633	0.0893	1.77			
3.650	0.0894	1.79			
3.667	0.0895	1.79			
3.683	0.0895	1.79			
3.700	0.0894	1.79			
3.717	0.0892	1.79			
3.733	0.0890	1.79			
3.750	0.0887	1.79			
3.767	0.0885	1.79			
3.783	0.0882	1.79			
3.800	0.0878	1.79			
3.817	0.0868	1.81			
3.833	0.0862	1.79			
3.850	0.0856	1.79			
3.867	0.0848	1.79			
3.883	0.0842	1.79			
3.900	0.0836	1.79			
3.917	0.0828	1.79			
3.933	0.0823	1.77			
3.950	0.0815	1.79			
3.967	0.0806	1.77			
3.983	0.0800	1.79			
4.000	0.0792	1.77			
4.017	0.0784	1.79			
4.033	0.0778	1.79			
4.050	0.0772	1.79			
4.067	0.0765	1.79			
4.083	0.0759	1.79			
4.100	0.0751	1.79			
4.117	0.0745	1.79			
4.133	0.0740	1.79			
4.150	0.0735	1.81			
4.167	0.0731	1.79			
4.183	0.0730	1.79			
4.200	0.0729	1.79			
4.217	0.0730	1.79			
4.233	0.0732	1.79			
4.250	0.0738	1.79			
4.267	0.0748	1.79			
4.283	0.0759	1.79			
4.300	0.0774	1.79			
4.317	0.0795	1.79			
4.333	0.0815	1.79			
4.350	0.0840	1.81			
4.367	0.0873	1.77			
4.383	0.0905	1.79			
4.400	0.0947	1.79			
4.417	0.0998	1.79			
4.433	0.1042	1.79			
4.450	0.1092	1.79			
4.467	0.1148	1.79			
4.483	0.1198	1.79			
4.500	0.1257	1.79			
4.517	0.1321	1.79			
4.533	0.1375	1.79			
4.550	0.1431	1.79			
4.567	0.1489	1.79			
4.583	0.1536	1.79			
4.600	0.1589	1.79			
4.617	0.1646	1.81			
4.633	0.1692	1.79			
4.650	0.1738	1.79			
4.667	0.1785	1.79			
4.683	0.1819	1.79			
4.700	0.1856	1.79			
4.717	0.1894	1.79			
4.733	0.1922	1.81			
4.750	0.1951	1.79			
4.767	0.1980	1.79			
4.783	0.2004	1.79			
4.800	0.2029	1.77			
4.817	0.2052	1.79			
4.833	0.2068	1.79			
4.850	0.2087	1.79			
4.867	0.2105	1.79			
4.883	0.2116	1.77			
4.900	0.2129	1.79			
4.917	0.2142	1.79			
4.933	0.2150	1.79			
4.950	0.2155	1.79			
4.967	0.2161	1.79			
4.983	0.2163	1.79			
5.000	0.2164	1.79			
5.017	0.2165	1.79			
5.033	0.2164	1.79			
5.050	0.2162	1.77			
5.067	0.2158	1.79			
5.083	0.2157	1.79			
5.100	0.2153	1.79			
5.117	0.2149	1.77			
5.133	0.2146	1.79			
5.150	0.2143	1.79			
5.167	0.2142	1.79			
5.183	0.2141	1.79			
5.200	0.2139	1.79			
5.217	0.2138	1.79			
5.233	0.2137	1.77			
5.250	0.2136	1.79			
5.267	0.2135	1.79			
5.283	0.2136	1.79			
5.300	0.2137	1.79			
5.317	0.2137	1.79			
5.333	0.2134	1.79			
5.350	0.2131	1.79			
5.367	0.2126	1.79			
5.383	0.2118	1.77			
5.400	0.2109	1.81			
5.417	0.2100	1.79			
5.433	0.2091	1.79			
5.450	0.2080	1.79			
5.467	0.2068	1.79			
5.483	0.2058	1.79			
5.500	0.2045	1.79			
5.517	0.2029	1.79			
5.533	0.2016	1.79			
5.550	0.2003	1.79			
5.567	0.1987	1.79			
5.583	0.1973	1.79			
5.600	0.1957	1.79			
5.617	0.1939	1.79			
5.633	0.1924	1.81			
5.650	0.1906	1.79			
5.667	0.1885	1.79			
5.683	0.1866	1.77			
5.700	0.1842	1.79			
5.717	0.1813	1.79			
5.733	0.1787	1.79			
5.750	0.1757	1.81			
5.767	0.1725	1.79			
5.783	0.1699	1.81			
5.800	0.1669	1.79			
5.817	0.1636	1.79			
5.833	0.1609	1.79			
5.850	0.1580	1.79			
5.867	0.1550	1.79			
5.883	0.1524	1.79			
5.900	0.1497	1.79			
5.917	0.1471	1.79			
5.933	0.1450	1.81			
5.950	0.1425	1.79			
5.967	0.1397	1.79			
5.983	0.1374	1.81			
6.000	0.1348	1.79			
6.017	0.1316	1.81			
6.033	0.1291	1.79			
6.050	0.1267	1.81			
6.067	0.1239	1.79			
6.083	0.1215	1.77			
6.100	0.1190	1.79			
6.117	0.1162	1.79			
6.133	0.1141	1.79			
6.150	0.1114	1.79			
6.167	0.1085	1.81			
6.183	0.1063	1.81			
6.200	0.1043	1.79			
6.217	0.1018	1.79			
6.233	0.0996	1.79			
6.250	0.0970	1.79			
6.267	0.0946	1.79			
6.283	0.0926	1.79			
6.300	0.0906	1.81			
6.317	0.0884	1.79			
6.333	0.0868	1.79			
6.350	0.0848	1.79			
6.367	0.0827	1.79			
6.383	0.0811	1.79			
6.400	0.0796	1.79			
6.417	0.0778	1.77			
6.433	0.0763	1.81			
6.450	0.0747	1.79			
6.467	0.0734	1.79			
6.483	0.0721	1.81			
6.500	0.0705	1.79			
6.517	0.0688	1.81			
6.533	0.0676	1.79			
6.550	0.0664	1.79			
6.567	0.0650	1.81			
6.583	0.0638	1.79			
6.600	0.0626	1.79			
6.617	0.0613	1.79			
6.633	0.0603	1.79			
6.650	0.0594	1.79			
6.667	0.0587	1.79			
6.683	0.0582	1.79			
6.700	0.0576	1.79			
6.717	0.0567	1.79			
6.733	0.0560	1.79			
6.750	0.0555	1.79			
6.767	0.0551	1.77			
6.783	0.0548	1.79			
6.800	0.0545	1.79			
6.817	0.0544	1.79			
6.833	0.0541	1.79			
6.850	0.0539	1.79			
6.867	0.0536	1.79			
6.883	0.0534	1.79			
6.900	0.0531	1.79			
6.917	0.0527	1.79			
6.933	0.0524	1.79			
6.950	0.0522	1.79			
6.967	0.0519	1.79			
6.983	0.0515	1.79			
7.000	0.0509	1.79			
7.017	0.0501	1.79			
7.033	0.0495	1.79			
7.050	0.0489	1.79			
7.067	0.0482	1.79			
7.083	0.0478	1.79			
7.100	0.0473	1.79			
7.117	0.0468	1.79			
7.133	0.0463	1.81			
7.150	0.0458	1.79			
7.167	0.0451	1.79			
7.183	0.0447	1.79			
7.200	0.0443	1.79			
7.217	0.0439	1.81			
7.233	0.0434	1.77			
7.250	0.0429	1.81			
7.267	0.0423	1.79			
7.283	0.0419	1.79			
7.300	0.0415	1.79			
7.317	0.0410	1.79			
7.333	0.0405	1.79			
7.350	0.0400	1.79			
7.367	0.0395	1.77			
7.383	0.0392	1.79			
7.400	0.0388	1.79			
7.417	0.0384	1.79			
7.433	0.0381	1.77			
7.450	0.0379	1.79			
7.467	0.0376	1.77			
7.483	0.0374	1.79			
7.500	0.0372	1.79			
7.517	0.0372	1.79			
7.533	0.0372	1.79			
7.550	0.0372	1.79			
7.567	0.0372	1.79			
7.583	0.0373	1.79			
7.600	0.0374	1.79			
7.617	0.0376	1.79			
7.633	0.0378	1.77			
7.650	0.0380	1.79			
7.667	0.0382	1.79			
7.683	0.0383	1.79			
7.700	0.0384	1.79			
7.717	0.0387	1.79			
7.733	0.0388	1.79			
7.750	0.0389	1.77			
7.767	0.0391	1.79			
7.783	0.0393	1.77			
7.800	0.0393	1.79			
7.817	0.0393	1.79			
7.833	0.0393	1.79			
7.850	0.0392	1.77			
7.867	0.0389	1.79			
7.883	0.0387	1.79			
7.900	0.0385	1.77			
7.917	0.0381	1.79			
7.933	0.0378	1.79			
7.950	0.0375	1.77			
7.967	0.0372	1.79			
7.983	0.0368	1.79			
8.000	0.0365	1.77			
8.017	0.0361	1.79			
8.033	0.0359	1.79			
8.050	0.0356	1.79			
8.067	0.0352	1.77			
8.083	0.0350	1.79			
8.100	0.0348	1.79			
8.117	0.0347	1.79			
8.133	0.0346	1.79			
8.150	0.0346	1.79			
8.167	0.0346	1.79			
8.183	0.0346	1.79			
8.200	0.0346	1.79			
8.217	0.0346	1.79			
8.233	0.0347	1.79			
8.250	0.0348	1.77			
8.267	0.0350	1.79			
8.283	0.0352	1.79			
8.300	0.0353	1.79			
8.317	0.0355	1.79			
8.333	0.0356	1.79			
8.350	0.0358	1.79			
8.367	0.0360	1.79			
8.383	0.0362	1.79			
8.400	0.0363	1.79			
8.417	0.0365	1.79			
8.433	0.0366	1.79			
8.450	0.0367	1.79			
8.467	0.0368	1.79			
8.483	0.0368	1.79			
8.500	0.0368	1.79			
8.517	0.0367	1.79			
8.533	0.0367	1.79			
8.550	0.0366	1.79			
8.567	0.0365	1.81			
8.583	0.0363	1.79			
8.600	0.0362	1.79			
8.617	0.0359	1.79			
8.633	0.0358	1.79			
8.650	0.0356	1.79			
8.667	0.0355	1.79			
8.683	0.0354	1.79			
8.700	0.0354	1.79			
8.717	0.0354	1.79			
8.733	0.0354	1.79			
8.750	0.0354	1.81			
8.767	0.0355	1.79			
8.783	0.0356	1.79			
8.800	0.0357	1.79			
8.817	0.0358	1.79			
8.833	0.0359	1.79			
8.850	0.0360	1.79			
8.867	0.0361	1.79			
8.883	0.0362	1.79			
8.900	0.0363	1.79			
8.917	0.0365	1.81			
8.933	0.0366	1.77			
8.950	0.0367	1.79			
8.967	0.0368	1.79			
8.983	0.0369	1.79			
9.000	0.0372	1.79			
9.017	0.0374	1.79			
9.033	0.0372	1.79			
9.050	0.0369	1.79			
9.067	0.0368	1.77			
9.083	0.0369	1.79			
9.100	0.0368	1.79			
9.117	0.0367	1.81			
9.133	0.0367	1.77			
9.150	0.0366	1.81			
9.167	0.0366	1.79			
9.183	0.0366	1.79			
9.200	0.0366	1.79			
9.217	0.0365	1.79			
9.233	0.0365	1.79			
9.250	0.0365	1.79			
9.267	0.0365	1.79			
9.283	0.0366	1.79			
9.300	0.0367	1.77			
9.317	0.0369	1.79			
9.333	0.0370	1.79			
9.350	0.0371	1.77			
9.367	0.0374	1.77			
9.383	0.0375	1.79			
9.400	0.0377	1.79			
9.417	0.0379	1.79			
9.433	0.0381	1.79			
9.450	0.0383	1.79			
9.467	0.0385	1.79			
9.483	0.0387	1.79			
9.500	0.0388	1.79			
9.517	0.0388	1.79			
9.533	0.0389	1.79			
9.550	0.0389	1.79			
9.567	0.0390	1.79			
9.583	0.0391	1.79			
9.600	0.0390	1.77			
9.617	0.0389	1.79			
9.633	0.0388	1.79			
9.650	0.0388	1.79			
9.667	0.0389	1.79			
9.683	0.0389	1.77			
9.700	0.0390	1.79			
9.717	0.0391	1.79			
9.733	0.0392	1.79			
9.750	0.0394	1.79			
9.767	0.0397	1.79			
9.783	0.0399	1.79			
9.800	0.0402	1.79			
9.817	0.0406	1.79			
9.833	0.0409	1.80			
9.850	0.0415	1.79			
9.867	0.0421	1.79			
9.883	0.0426	1.79			
9.900	0.0432	1.79			
9.917	0.0438	1.79			
9.933	0.0442	1.79			
9.950	0.0446	1.79			
9.967	0.0452	1.79			
9.983	0.0455	1.79			
10.000	0.0458	1.79			
10.017	0.0457	1.79			
10.033	0.0454	1.80			
10.050	0.0451	1.79			
10.067	0.0448	1.79			
10.083	0.0446	1.79			
10.100	0.0445	1.79			
10.117	0.0444	1.79			
10.133	0.0442	1.80			
10.150	0.0441	1.79			
10.167	0.0441	1.79			
10.183	0.0441	1.79			
10.200	0.0443	1.79			
10.217	0.0447	1.79			
10.233	0.0451	1.79			
10.250	0.0456	1.79			
10.267	0.0461	1.77			
10.283	0.0466	1.79			
10.300	0.0469	1.79			
10.317	0.0471	1.79			
10.333	0.0471	1.79			
10.350	0.0472	1.79			
10.367	0.0471	1.77			
10.383	0.0468	1.79			
10.400	0.0464	1.79			
10.417	0.0460	1.79			
10.433	0.0457	1.79			
10.450	0.0454	1.79			
