Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0417	1.80			
0.017	0.0417	1.80			
0.033	0.0417	1.80			
0.050	0.0417	1.78			
0.067	0.0417	1.80			
0.083	0.0417	1.80			
0.100	0.0417	1.80			
0.117	0.0417	1.80			
0.133	0.0419	1.80			
0.150	0.1552	1.80			
0.167	0.2936	1.82			
0.183	0.3433	1.80			
0.200	0.3306	1.80			
0.217	0.3276	1.80			
0.233	0.3258	1.80			
0.250	0.3235	1.80			
0.267	0.3214	1.80			
0.283	0.3199	1.80			
0.300	0.3186	1.80			
0.317	0.3168	1.80			
0.333	0.3145	1.80			
0.350	0.3139	1.80			
0.367	0.3131	1.80			
0.383	0.3124	1.80			
0.400	0.3145	1.80			
0.417	0.3201	1.80			
0.433	0.3232	1.80			
0.450	0.3220	1.80			
0.467	0.3106	1.80			
0.483	0.3019	1.82			
0.500	0.2981	1.80			
0.517	0.2980	1.78			
0.533	0.3003	1.82			
0.550	0.3023	1.80			
0.567	0.3018	1.82			
0.583	0.3020	1.80			
0.600	0.3020	1.80			
0.617	0.3016	1.80			
0.633	0.3022	1.78			
0.650	0.3035	1.80			
0.667	0.3032	1.82			
0.683	0.3027	1.80			
0.700	0.3035	1.80			
0.717	0.3037	1.80			
0.733	0.3035	1.81			
0.750	0.3041	1.80			
0.767	0.3040	1.80			
0.783	0.3033	1.80			
0.800	0.3033	1.80			
0.817	0.3046	1.80			
0.833	0.3057	1.80			
0.850	0.3049	1.80			
0.867	0.3044	1.78			
0.883	0.3047	1.81			
0.900	0.3049	1.78			
0.917	0.3042	1.80			
0.933	0.3043	1.80			
0.950	0.3042	1.80			
0.967	0.3039	1.80			
0.983	0.3043	1.80			
1.000	0.3054	1.80			
1.017	0.3060	1.80			
1.033	0.3061	1.80			
1.050	0.3067	1.80			
1.067	0.3069	1.80			
1.083	0.3067	1.80			
1.100	0.3063	1.81			
1.117	0.3058	1.80			
1.133	0.3055	1.80			
