Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0117	1.69			
0.017	0.0069	1.69			
0.033	0.0124	1.69			
0.050	0.0386	1.69			
0.067	0.0407	1.69			
0.083	0.0354	1.69			
0.100	0.0617	1.69			
0.117	0.0680	1.69			
0.133	0.0236	1.69			
0.150	0.1164	1.69			
0.167	0.2932	1.69			
0.183	0.4568	1.69			
0.200	0.4490	1.69			
0.217	0.4458	1.69			
0.233	0.4479	1.69			
0.250	0.4497	1.69			
0.267	0.4462	1.69			
0.283	0.4389	1.69			
0.300	0.4287	1.69			
0.317	0.4190	1.70			
0.333	0.4161	1.67			
0.350	0.4166	1.69			
0.367	0.4164	1.69			
0.383	0.4145	1.67			
0.400	0.4134	1.70			
0.417	0.4143	1.67			
0.433	0.4166	1.70			
0.450	0.4188	1.69			
0.467	0.4210	1.67			
0.483	0.4234	1.67			
0.500	0.4257	1.69			
0.517	0.4281	1.69			
0.533	0.4303	1.69			
0.550	0.4321	1.69			
0.567	0.4331	1.70			
0.583	0.4340	1.69			
0.600	0.4350	1.69			
0.617	0.4364	1.69			
0.633	0.4381	1.69			
0.650	0.4397	1.69			
0.667	0.4391	1.69			
0.683	0.4388	1.69			
0.700	0.4402	1.69			
0.717	0.4419	1.69			
0.733	0.4423	1.69			
0.750	0.4419	1.69			
0.767	0.4419	1.69			
0.783	0.4428	1.69			
0.800	0.4437	1.69			
0.817	0.4439	1.69			
0.833	0.4448	1.69			
0.850	0.4467	1.69			
0.867	0.4467	1.69			
0.883	0.4452	1.69			
0.900	0.4460	1.69			
0.917	0.4485	1.69			
0.933	0.4494	1.69			
0.950	0.4473	1.69			
0.967	0.4460	1.69			
0.983	0.4478	1.70			
1.000	0.4489	1.69			
1.017	0.4477	1.69			
1.033	0.4462	1.69			
1.050	0.4465	1.69			
1.067	0.4474	1.69			
1.083	0.4479	1.69			
1.100	0.4469	1.69			
1.117	0.4454	1.69			
1.133	0.4438	1.70			
1.150	0.4424	1.67			
1.167	0.4413	1.67			
1.183	0.4402	1.69			
1.200	0.4388	1.69			
1.217	0.4367	1.69			
1.233	0.4342	1.67			
1.250	0.4312	1.69			
