Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
1.267	0.4281	1.69			
1.283	0.4248	1.67			
1.300	0.4210	1.69			
1.317	0.4167	1.70			
1.333	0.4117	1.69			
1.350	0.4070	1.69			
1.367	0.4023	1.69			
1.383	0.3977	1.69			
1.400	0.3928	1.69			
1.417	0.3880	1.69			
1.433	0.3833	1.69			
1.450	0.3784	1.69			
1.467	0.3734	1.69			
1.483	0.3683	1.69			
1.500	0.3634	1.69			
1.517	0.3584	1.69			
1.533	0.3534	1.69			
1.550	0.3483	1.69			
1.567	0.3434	1.69			
1.583	0.3382	1.69			
1.600	0.3330	1.69			
1.617	0.3275	1.70			
1.633	0.3222	1.69			
1.650	0.3168	1.69			
1.667	0.3112	1.69			
1.683	0.3056	1.69			
1.700	0.2999	1.69			
1.717	0.2944	1.69			
1.733	0.2883	1.69			
1.750	0.2822	1.67			
1.767	0.2761	1.69			
1.783	0.2702	1.69			
1.800	0.2640	1.67			
1.817	0.2578	1.69			
1.833	0.2520	1.69			
1.850	0.2462	1.70			
1.867	0.2405	1.69			
1.883	0.2347	1.69			
1.900	0.2294	1.69			
1.917	0.2240	1.69			
1.933	0.2187	1.69			
1.950	0.2134	1.69			
1.967	0.2083	1.70			
1.983	0.2034	1.69			
2.000	0.1988	1.69			
2.017	0.1943	1.67			
2.033	0.1898	1.69			
2.050	0.1856	1.69			
2.067	0.1815	1.69			
2.083	0.1776	1.69			
2.100	0.1738	1.69			
2.117	0.1703	1.69			
2.133	0.1668	1.67			
2.150	0.1633	1.69			
2.167	0.1598	1.69			
2.183	0.1569	1.67			
2.200	0.1538	1.69			
2.217	0.1503	1.69			
2.233	0.1469	1.69			
2.250	0.1439	1.69			
2.267	0.1411	1.69			
2.283	0.1383	1.69			
2.300	0.1353	1.69			
2.317	0.1326	1.69			
2.333	0.1301	1.69			
2.350	0.1276	1.69			
2.367	0.1251	1.67			
2.383	0.1228	1.69			
2.400	0.1203	1.69			
2.417	0.1177	1.69			
2.433	0.1154	1.69			
2.450	0.1135	1.69			
2.467	0.1117	1.69			
2.483	0.1099	1.69			
2.500	0.1079	1.69			
2.517	0.1060	1.69			
2.533	0.1041	1.69			
2.550	0.1023	1.69			
2.567	0.1004	1.67			
2.583	0.0987	1.70			
2.600	0.0969	1.69			
2.617	0.0951	1.69			
2.633	0.0932	1.69			
2.650	0.0915	1.69			
2.667	0.0899	1.69			
2.683	0.0885	1.70			
2.700	0.0869	1.69			
2.717	0.0853	1.69			
2.733	0.0841	1.69			
2.750	0.0830	1.69			
2.767	0.0819	1.69			
2.783	0.0809	1.69			
2.800	0.0800	1.69			
2.817	0.0791	1.69			
2.833	0.0782	1.69			
2.850	0.0772	1.69			
2.867	0.0763	1.69			
2.883	0.0755	1.69			
2.900	0.0747	1.69			
2.917	0.0739	1.69			
2.933	0.0731	1.69			
2.950	0.0724	1.67			
2.967	0.0716	1.69			
2.983	0.0709	1.69			
3.000	0.0704	1.69			
3.017	0.0699	1.70			
3.033	0.0696	1.69			
3.050	0.0690	1.67			
3.067	0.0685	1.69			
3.083	0.0682	1.69			
3.100	0.0681	1.69			
3.117	0.0680	1.69			
3.133	0.0678	1.69			
3.150	0.0678	1.67			
3.167	0.0679	1.69			
3.183	0.0680	1.70			
3.200	0.0681	1.69			
3.217	0.0683	1.69			
3.233	0.0684	1.69			
3.250	0.0686	1.69			
3.267	0.0687	1.69			
3.283	0.0689	1.69			
3.300	0.0692	1.69			
3.317	0.0696	1.67			
3.333	0.0699	1.69			
3.350	0.0702	1.69			
3.367	0.0706	1.69			
3.383	0.0710	1.67			
3.400	0.0715	1.69			
3.417	0.0720	1.69			
3.433	0.0725	1.69			
3.450	0.0731	1.69			
3.467	0.0736	1.69			
3.483	0.0742	1.69			
3.500	0.0745	1.69			
3.517	0.0749	1.69			
3.533	0.0752	1.69			
3.550	0.0755	1.69			
3.567	0.0758	1.67			
3.583	0.0760	1.69			
3.600	0.0762	1.69			
3.617	0.0763	1.69			
3.633	0.0764	1.69			
3.650	0.0764	1.69			
3.667	0.0764	1.69			
3.683	0.0763	1.69			
3.700	0.0761	1.69			
3.717	0.0759	1.69			
3.733	0.0757	1.70			
3.750	0.0754	1.69			
3.767	0.0750	1.69			
3.783	0.0747	1.69			
3.800	0.0743	1.69			
3.817	0.0739	1.69			
3.833	0.0735	1.69			
3.850	0.0731	1.69			
3.867	0.0727	1.69			
3.883	0.0723	1.69			
3.900	0.0719	1.69			
3.917	0.0715	1.69			
3.933	0.0711	1.69			
3.950	0.0706	1.69			
3.967	0.0702	1.67			
3.983	0.0698	1.69			
4.000	0.0694	1.69			
4.017	0.0689	1.70			
4.033	0.0685	1.69			
4.050	0.0681	1.69			
4.067	0.0679	1.69			
4.083	0.0676	1.69			
4.100	0.0674	1.69			
4.117	0.0673	1.69			
4.133	0.0674	1.69			
4.150	0.0676	1.69			
4.167	0.0679	1.69			
4.183	0.0683	1.69			
4.200	0.0689	1.69			
4.217	0.0696	1.69			
4.233	0.0704	1.70			
4.250	0.0713	1.67			
4.267	0.0723	1.69			
4.283	0.0735	1.70			
4.300	0.0747	1.67			
4.317	0.0761	1.69			
4.333	0.0776	1.69			
4.350	0.0793	1.67			
4.367	0.0811	1.69			
4.383	0.0829	1.69			
4.400	0.0848	1.69			
4.417	0.0869	1.69			
4.433	0.0892	1.69			
4.450	0.0915	1.69			
4.467	0.0939	1.67			
4.483	0.0964	1.69			
4.500	0.0991	1.69			
4.517	0.1017	1.69			
4.533	0.1041	1.69			
4.550	0.1064	1.69			
4.567	0.1089	1.69			
4.583	0.1112	1.69			
4.600	0.1135	1.69			
4.617	0.1157	1.69			
4.633	0.1179	1.69			
4.650	0.1200	1.69			
4.667	0.1220	1.69			
4.683	0.1239	1.69			
4.700	0.1256	1.69			
4.717	0.1273	1.69			
4.733	0.1288	1.69			
4.750	0.1299	1.69			
4.767	0.1308	1.69			
4.783	0.1318	1.69			
4.800	0.1328	1.69			
4.817	0.1337	1.69			
4.833	0.1345	1.69			
4.850	0.1352	1.67			
4.867	0.1358	1.70			
4.883	0.1361	1.69			
4.900	0.1362	1.69			
4.917	0.1363	1.67			
4.933	0.1365	1.70			
4.950	0.1366	1.67			
4.967	0.1366	1.69			
4.983	0.1367	1.69			
5.000	0.1368	1.69			
5.017	0.1370	1.69			
5.033	0.1371	1.69			
5.050	0.1372	1.70			
5.067	0.1374	1.69			
5.083	0.1376	1.69			
5.100	0.1378	1.69			
5.117	0.1381	1.67			
5.133	0.1384	1.67			
5.150	0.1388	1.69			
5.167	0.1392	1.69			
5.183	0.1397	1.69			
5.200	0.1402	1.69			
5.217	0.1409	1.69			
5.233	0.1417	1.69			
5.250	0.1426	1.69			
5.267	0.1435	1.69			
5.283	0.1442	1.69			
5.300	0.1449	1.69			
5.317	0.1459	1.69			
5.333	0.1468	1.69			
5.350	0.1477	1.69			
5.367	0.1485	1.69			
5.383	0.1493	1.69			
5.400	0.1501	1.69			
5.417	0.1507	1.69			
5.433	0.1512	1.69			
5.450	0.1516	1.67			
5.467	0.1520	1.69			
5.483	0.1522	1.69			
5.500	0.1522	1.67			
5.517	0.1520	1.69			
5.533	0.1518	1.69			
5.550	0.1515	1.67			
5.567	0.1509	1.67			
5.583	0.1503	1.69			
5.600	0.1495	1.69			
5.617	0.1487	1.67			
5.633	0.1476	1.69			
5.650	0.1464	1.69			
5.667	0.1451	1.69			
5.683	0.1438	1.69			
5.700	0.1423	1.69			
5.717	0.1406	1.67			
5.733	0.1389	1.69			
5.750	0.1372	1.69			
5.767	0.1355	1.69			
5.783	0.1336	1.69			
5.800	0.1316	1.69			
5.817	0.1298	1.69			
5.833	0.1279	1.69			
5.850	0.1260	1.69			
5.867	0.1239	1.69			
5.883	0.1221	1.69			
5.900	0.1201	1.67			
5.917	0.1180	1.69			
5.933	0.1158	1.67			
5.950	0.1137	1.69			
5.967	0.1117	1.67			
5.983	0.1097	1.67			
6.000	0.1076	1.69			
6.017	0.1055	1.69			
6.033	0.1034	1.69			
6.050	0.1011	1.69			
6.067	0.0989	1.69			
6.083	0.0966	1.69			
6.100	0.0944	1.67			
6.117	0.0923	1.67			
6.133	0.0902	1.67			
6.150	0.0882	1.69			
6.167	0.0862	1.69			
6.183	0.0845	1.67			
6.200	0.0827	1.69			
6.217	0.0812	1.69			
6.233	0.0797	1.69			
6.250	0.0783	1.69			
6.267	0.0770	1.69			
6.283	0.0756	1.69			
6.300	0.0744	1.69			
6.317	0.0732	1.69			
6.333	0.0720	1.69			
6.350	0.0708	1.69			
6.367	0.0697	1.69			
6.383	0.0686	1.69			
6.400	0.0676	1.69			
6.417	0.0667	1.69			
6.433	0.0658	1.69			
6.450	0.0650	1.69			
6.467	0.0641	1.67			
6.483	0.0631	1.69			
6.500	0.0621	1.69			
6.517	0.0613	1.69			
6.533	0.0605	1.70			
6.550	0.0600	1.69			
6.567	0.0595	1.70			
6.583	0.0591	1.69			
6.600	0.0587	1.69			
6.617	0.0585	1.69			
6.633	0.0584	1.69			
6.650	0.0582	1.69			
6.667	0.0580	1.69			
6.683	0.0579	1.69			
6.700	0.0579	1.67			
6.717	0.0580	1.69			
6.733	0.0581	1.69			
6.750	0.0583	1.69			
6.767	0.0585	1.69			
6.783	0.0588	1.69			
6.800	0.0591	1.69			
6.817	0.0593	1.69			
6.833	0.0596	1.69			
6.850	0.0599	1.69			
6.867	0.0602	1.69			
6.883	0.0605	1.69			
6.900	0.0607	1.69			
6.917	0.0610	1.69			
6.933	0.0612	1.67			
6.950	0.0613	1.69			
6.967	0.0614	1.69			
6.983	0.0615	1.69			
7.000	0.0616	1.69			
7.017	0.0616	1.70			
7.033	0.0614	1.69			
7.050	0.0613	1.69			
7.067	0.0611	1.69			
7.083	0.0609	1.67			
7.100	0.0606	1.67			
7.117	0.0604	1.69			
7.133	0.0602	1.69			
7.150	0.0599	1.69			
7.167	0.0594	1.69			
7.183	0.0590	1.69			
7.200	0.0585	1.69			
7.217	0.0580	1.69			
7.233	0.0575	1.69			
7.250	0.0570	1.69			
7.267	0.0567	1.70			
7.283	0.0562	1.69			
7.300	0.0556	1.69			
7.317	0.0551	1.67			
7.333	0.0547	1.69			
7.350	0.0542	1.69			
7.367	0.0538	1.69			
7.383	0.0534	1.69			
7.400	0.0532	1.69			
7.417	0.0531	1.69			
7.433	0.0531	1.69			
7.450	0.0533	1.69			
7.467	0.0538	1.69			
7.483	0.0544	1.69			
7.500	0.0551	1.69			
7.517	0.0561	1.69			
7.533	0.0571	1.67			
7.550	0.0581	1.67			
7.567	0.0592	1.67			
7.583	0.0601	1.69			
7.600	0.0611	1.67			
7.617	0.0623	1.69			
7.633	0.0638	1.69			
7.650	0.0653	1.69			
7.667	0.0654	1.70			
7.683	0.0654	1.67			
7.700	0.0666	1.69			
7.717	0.0673	1.69			
7.733	0.0673	1.69			
7.750	0.0675	1.69			
7.767	0.0682	1.70			
7.783	0.0685	1.69			
7.800	0.0687	1.69			
7.817	0.0687	1.69			
7.833	0.0689	1.69			
7.850	0.0687	1.67			
7.867	0.0681	1.69			
7.883	0.0676	1.67			
7.900	0.0671	1.70			
7.917	0.0666	1.69			
7.933	0.0661	1.69			
7.950	0.0657	1.69			
7.967	0.0653	1.69			
7.983	0.0648	1.69			
8.000	0.0644	1.69			
8.017	0.0643	1.69			
8.033	0.0643	1.69			
8.050	0.0644	1.69			
8.067	0.0647	1.69			
8.083	0.0653	1.69			
8.100	0.0662	1.69			
8.117	0.0673	1.69			
8.133	0.0684	1.67			
8.150	0.0697	1.70			
8.167	0.0710	1.69			
8.183	0.0724	1.69			
8.200	0.0736	1.69			
8.217	0.0747	1.69			
8.233	0.0757	1.69			
8.250	0.0767	1.69			
8.267	0.0776	1.69			
8.283	0.0784	1.69			
8.300	0.0789	1.69			
8.317	0.0793	1.67			
8.333	0.0794	1.69			
8.350	0.0793	1.67			
8.367	0.0790	1.69			
8.383	0.0786	1.70			
8.400	0.0782	1.69			
8.417	0.0778	1.70			
8.433	0.0774	1.69			
8.450	0.0770	1.69			
8.467	0.0767	1.69			
8.483	0.0763	1.69			
8.500	0.0761	1.69			
8.517	0.0761	1.69			
8.533	0.0763	1.69			
8.550	0.0767	1.69			
8.567	0.0774	1.69			
8.583	0.0783	1.69			
8.600	0.0794	1.69			
8.617	0.0806	1.69			
8.633	0.0818	1.69			
8.650	0.0832	1.69			
8.667	0.0845	1.70			
8.683	0.0857	1.69			
8.700	0.0870	1.69			
8.717	0.0880	1.69			
8.733	0.0884	1.69			
8.750	0.0884	1.69			
8.767	0.0883	1.69			
8.783	0.0882	1.69			
8.800	0.0879	1.70			
8.817	0.0874	1.69			
8.833	0.0870	1.69			
8.850	0.0865	1.69			
8.867	0.0861	1.67			
8.883	0.0859	1.69			
8.900	0.0858	1.69			
8.917	0.0859	1.69			
8.933	0.0863	1.69			
8.950	0.0869	1.69			
8.967	0.0876	1.69			
8.983	0.0884	1.69			
9.000	0.0894	1.69			
9.017	0.0904	1.69			
9.033	0.0912	1.69			
9.050	0.0919	1.69			
9.067	0.0925	1.69			
9.083	0.0927	1.69			
9.100	0.0928	1.69			
9.117	0.0928	1.70			
9.133	0.0927	1.67			
9.150	0.0924	1.69			
9.167	0.0920	1.69			
9.183	0.0915	1.67			
9.200	0.0912	1.69			
9.217	0.0909	1.69			
9.233	0.0907	1.69			
9.250	0.0906	1.69			
9.267	0.0905	1.69			
9.283	0.0906	1.69			
9.300	0.0909	1.69			
9.317	0.0914	1.69			
9.333	0.0919	1.69			
9.350	0.0924	1.69			
9.367	0.0929	1.67			
9.383	0.0933	1.69			
9.400	0.0936	1.69			
9.417	0.0938	1.69			
9.433	0.0940	1.69			
9.450	0.0940	1.69			
9.467	0.0939	1.69			
9.483	0.0937	1.69			
9.500	0.0934	1.69			
9.517	0.0932	1.69			
9.533	0.0929	1.69			
9.550	0.0927	1.69			
9.567	0.0925	1.69			
9.583	0.0924	1.69			
9.600	0.0923	1.69			
9.617	0.0924	1.69			
9.633	0.0926	1.69			
9.650	0.0928	1.69			
9.667	0.0931	1.69			
9.683	0.0933	1.67			
9.700	0.0935	1.67			
9.717	0.0935	1.69			
9.733	0.0935	1.69			
9.750	0.0935	1.69			
9.767	0.0934	1.69			
9.783	0.0933	1.67			
9.800	0.0931	1.69			
9.817	0.0928	1.69			
9.833	0.0926	1.69			
9.850	0.0925	1.69			
9.867	0.0924	1.69			
9.883	0.0924	1.70			
9.900	0.0924	1.69			
9.917	0.0924	1.69			
9.933	0.0925	1.69			
9.950	0.0925	1.69			
9.967	0.0926	1.69			
9.983	0.0927	1.69			
10.000	0.0927	1.69			
10.017	0.0928	1.69			
10.033	0.0928	1.69			
10.050	0.0928	1.69			
10.067	0.0927	1.69			
10.083	0.0926	1.69			
10.100	0.0926	1.69			
10.117	0.0924	1.69			
10.133	0.0923	1.69			
10.150	0.0921	1.69			
10.167	0.0921	1.69			
10.183	0.0920	1.69			
10.200	0.0920	1.69			
10.217	0.0920	1.69			
10.233	0.0919	1.69			
10.250	0.0915	1.69			
10.267	0.0912	1.69			
10.283	0.0911	1.67			
10.300	0.0912	1.69			
10.317	0.0913	1.69			
10.333	0.0915	1.69			
10.350	0.0915	1.69			
10.367	0.0919	1.69			
10.383	0.0925	1.69			
10.400	0.0934	1.69			
10.417	0.0945	1.69			
10.433	0.0957	1.69			
10.450	0.0967	1.69			
10.467	0.0973	1.69			
10.483	0.0973	1.69			
10.500	0.0971	1.69			
10.517	0.0968	1.69			
10.533	0.0965	1.69			
10.550	0.0965	1.69			
10.567	0.0965	1.69			
10.583	0.0968	1.69			
10.600	0.0974	1.70			
10.617	0.0983	1.69			
10.633	0.0996	1.67			
10.650	0.1010	1.67			
10.667	0.1025	1.69			
10.683	0.1039	1.69			
10.700	0.1052	1.69			
10.717	0.1062	1.67			
10.733	0.1077	1.69			
10.750	0.1098	1.69			
10.767	0.1119	1.69			
10.783	0.1142	1.67			
10.800	0.1186	1.69			
10.817	0.1259	1.69			
10.833	0.1340	1.69			
10.850	0.1386	1.69			
10.867	0.1384	1.69			
10.883	0.1354	1.67			
10.900	0.1316	1.69			
10.917	0.1299	1.69			
10.933	0.1292	1.69			
10.950	0.1275	1.69			
10.967	0.1252	1.69			
10.983	0.1242	1.69			
11.000	0.1241	1.69			
11.017	0.1216	1.69			
