Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0433	1.75			
0.017	0.0433	1.75			
0.033	0.0433	1.73			
0.050	0.0432	1.75			
0.067	0.0432	1.75			
0.083	0.0432	1.75			
0.100	0.0431	1.75			
0.117	0.0431	1.73			
0.133	0.1019	1.75			
0.150	0.2280	1.75			
0.167	0.3435	1.75			
0.183	0.3302	1.75			
0.200	0.3210	1.75			
0.217	0.3169	1.75			
0.233	0.3190	1.75			
0.250	0.3300	1.75			
0.267	0.3447	1.75			
0.283	0.3548	1.75			
0.300	0.3567	1.75			
0.317	0.3559	1.75			
0.333	0.3549	1.75			
0.350	0.3557	1.73			
0.367	0.3566	1.75			
0.383	0.3569	1.75			
0.400	0.3566	1.75			
0.417	0.3570	1.75			
0.433	0.3581	1.73			
0.450	0.3593	1.75			
0.467	0.3606	1.75			
0.483	0.3620	1.75			
0.500	0.3623	1.75			
0.517	0.3619	1.75			
0.533	0.3623	1.73			
0.550	0.3638	1.75			
0.567	0.3654	1.75			
0.583	0.3664	1.75			
0.600	0.3671	1.73			
0.617	0.3677	1.75			
0.633	0.3681	1.75			
0.650	0.3680	1.75			
0.667	0.3674	1.73			
0.683	0.3667	1.73			
0.700	0.3660	1.75			
0.717	0.3653	1.75			
0.733	0.3646	1.73			
0.750	0.3638	1.75			
0.767	0.3630	1.75			
0.783	0.3618	1.75			
0.800	0.3602	1.77			
0.817	0.3584	1.73			
0.833	0.3565	1.75			
0.850	0.3545	1.73			
0.867	0.3521	1.75			
0.883	0.3494	1.75			
0.900	0.3463	1.75			
0.917	0.3432	1.75			
0.933	0.3399	1.75			
0.950	0.3364	1.77			
0.967	0.3320	1.73			
0.983	0.3270	1.75			
1.000	0.3216	1.75			
1.017	0.3155	1.73			
1.033	0.3089	1.75			
1.050	0.3019	1.75			
1.067	0.2954	1.73			
1.083	0.2887	1.75			
1.100	0.2823	1.75			
1.117	0.2759	1.75			
1.133	0.2700	1.73			
1.150	0.2644	1.75			
1.167	0.2591	1.75			
1.183	0.2532	1.73			
1.200	0.2475	1.73			
1.217	0.2434	1.75			
1.233	0.2400	1.75			
1.250	0.2367	1.75			
1.267	0.2327	1.75			
1.283	0.2290	1.73			
1.300	0.2252	1.75			
1.317	0.2215	1.75			
1.333	0.2178	1.73			
1.350	0.2145	1.75			
1.367	0.2111	1.75			
1.383	0.2081	1.73			
1.400	0.2050	1.75			
1.417	0.2019	1.73			
1.433	0.1988	1.75			
1.450	0.1959	1.75			
1.467	0.1932	1.75			
1.483	0.1903	1.75			
1.500	0.1874	1.75			
1.517	0.1844	1.75			
1.533	0.1817	1.73			
1.550	0.1790	1.73			
1.567	0.1760	1.75			
1.583	0.1731	1.75			
1.600	0.1702	1.73			
1.617	0.1669	1.75			
1.633	0.1629	1.73			
1.650	0.1584	1.75			
1.667	0.1536	1.75			
1.683	0.1486	1.75			
1.700	0.1434	1.75			
1.717	0.1383	1.75			
1.733	0.1336	1.75			
1.750	0.1292	1.73			
1.767	0.1252	1.75			
1.783	0.1216	1.75			
1.800	0.1183	1.75			
1.817	0.1152	1.75			
1.833	0.1124	1.75			
1.850	0.1097	1.75			
1.867	0.1071	1.73			
1.883	0.1045	1.75			
1.900	0.1022	1.75			
1.917	0.1001	1.73			
1.933	0.0983	1.75			
1.950	0.0966	1.75			
1.967	0.0952	1.75			
1.983	0.0936	1.75			
2.000	0.0920	1.75			
2.017	0.0906	1.73			
2.033	0.0889	1.75			
2.050	0.0874	1.75			
2.067	0.0864	1.75			
2.083	0.0854	1.75			
2.100	0.0841	1.75			
2.117	0.0826	1.73			
2.133	0.0812	1.75			
2.150	0.0798	1.75			
2.167	0.0780	1.73			
2.183	0.0759	1.73			
2.200	0.0734	1.75			
2.217	0.0707	1.73			
2.233	0.0679	1.73			
2.250	0.0652	1.75			
2.267	0.0625	1.75			
2.283	0.0602	1.75			
2.300	0.0580	1.73			
2.317	0.0560	1.75			
2.333	0.0542	1.75			
2.350	0.0526	1.75			
2.367	0.0512	1.75			
2.383	0.0498	1.75			
2.400	0.0487	1.75			
2.417	0.0476	1.73			
2.433	0.0466	1.75			
2.450	0.0458	1.75			
2.467	0.0450	1.75			
2.483	0.0444	1.73			
2.500	0.0439	1.75			
2.517	0.0436	1.75			
2.533	0.0432	1.75			
2.550	0.0429	1.73			
2.567	0.0426	1.75			
2.583	0.0424	1.75			
